#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 9226.69 keV Jpi=3- l=5 n=1 j=9/2"                
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000      0.5579    
   1.000      0.5519    
   2.000      0.5351    
   3.000      0.5114    
   4.000      0.4859    
   5.000      0.4636    
   6.000      0.4478    
   7.000      0.4397    
   8.000      0.4377    
   9.000      0.4390    
   10.00      0.4401    
   11.00      0.4385    
   12.00      0.4334    
   13.00      0.4259    
   14.00      0.4187    
   15.00      0.4143    
   16.00      0.4150    
   17.00      0.4214    
   18.00      0.4326    
   19.00      0.4469    
   20.00      0.4620    
   21.00      0.4764    
   22.00      0.4894    
   23.00      0.5013    
   24.00      0.5127    
   25.00      0.5244    
   26.00      0.5367    
   27.00      0.5490    
   28.00      0.5601    
   29.00      0.5684    
   30.00      0.5727    
   31.00      0.5720    
   32.00      0.5660    
   33.00      0.5553    
   34.00      0.5409    
   35.00      0.5236    
   36.00      0.5044    
   37.00      0.4839    
   38.00      0.4621    
   39.00      0.4389    
   40.00      0.4141    
   41.00      0.3876    
   42.00      0.3594    
   43.00      0.3301    
   44.00      0.3006    
   45.00      0.2718    
   46.00      0.2447    
   47.00      0.2201    
   48.00      0.1985    
   49.00      0.1800    
   50.00      0.1643    
   51.00      0.1510    
   52.00      0.1397    
   53.00      0.1299    
   54.00      0.1213    
   55.00      0.1140    
   56.00      0.1079    
   57.00      0.1033    
   58.00      0.1001    
   59.00      0.9823E-01
   60.00      0.9750E-01
   61.00      0.9747E-01
   62.00      0.9765E-01
   63.00      0.9760E-01
   64.00      0.9697E-01
   65.00      0.9559E-01
   66.00      0.9344E-01
   67.00      0.9065E-01
   68.00      0.8744E-01
   69.00      0.8402E-01
   70.00      0.8060E-01
   71.00      0.7726E-01
   72.00      0.7406E-01
   73.00      0.7094E-01
   74.00      0.6784E-01
   75.00      0.6468E-01
   76.00      0.6140E-01
   77.00      0.5799E-01
   78.00      0.5445E-01
   79.00      0.5086E-01
   80.00      0.4733E-01
 END
