#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8484 keV Jpi=2- l=1 n=3 j=1/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       45.95    
   1.000       45.86    
   2.000       45.58    
   3.000       45.08    
   4.000       44.30    
   5.000       43.21    
   6.000       41.75    
   7.000       39.91    
   8.000       37.68    
   9.000       35.09    
   10.00       32.19    
   11.00       29.08    
   12.00       25.85    
   13.00       22.60    
   14.00       19.46    
   15.00       16.52    
   16.00       13.88    
   17.00       11.62    
   18.00       9.761    
   19.00       8.331    
   20.00       7.310    
   21.00       6.656    
   22.00       6.308    
   23.00       6.191    
   24.00       6.227    
   25.00       6.344    
   26.00       6.475    
   27.00       6.567    
   28.00       6.584    
   29.00       6.503    
   30.00       6.317    
   31.00       6.028    
   32.00       5.652    
   33.00       5.209    
   34.00       4.723    
   35.00       4.219    
   36.00       3.723    
   37.00       3.255    
   38.00       2.830    
   39.00       2.460    
   40.00       2.151    
   41.00       1.903    
   42.00       1.712    
   43.00       1.571    
   44.00       1.473    
   45.00       1.408    
   46.00       1.365    
   47.00       1.337    
   48.00       1.314    
   49.00       1.292    
   50.00       1.266    
   51.00       1.232    
   52.00       1.190    
   53.00       1.140    
   54.00       1.083    
   55.00       1.022    
   56.00      0.9588    
   57.00      0.8959    
   58.00      0.8356    
   59.00      0.7799    
   60.00      0.7299    
   61.00      0.6867    
   62.00      0.6502    
   63.00      0.6202    
   64.00      0.5958    
   65.00      0.5761    
   66.00      0.5597    
   67.00      0.5452    
   68.00      0.5314    
   69.00      0.5169    
   70.00      0.5009    
   71.00      0.4825    
   72.00      0.4614    
   73.00      0.4372    
   74.00      0.4102    
   75.00      0.3807    
   76.00      0.3492    
   77.00      0.3164    
   78.00      0.2832    
   79.00      0.2504    
   80.00      0.2190    
 END
