#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 9226.69 keV Jpi=3- l=1 n=2 j=3/2"                
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       22.26    
   1.000       22.21    
   2.000       22.08    
   3.000       21.85    
   4.000       21.50    
   5.000       21.01    
   6.000       20.38    
   7.000       19.59    
   8.000       18.64    
   9.000       17.54    
   10.00       16.32    
   11.00       15.00    
   12.00       13.64    
   13.00       12.27    
   14.00       10.94    
   15.00       9.700    
   16.00       8.586    
   17.00       7.626    
   18.00       6.838    
   19.00       6.226    
   20.00       5.781    
   21.00       5.487    
   22.00       5.315    
   23.00       5.235    
   24.00       5.212    
   25.00       5.215    
   26.00       5.213    
   27.00       5.183    
   28.00       5.107    
   29.00       4.977    
   30.00       4.787    
   31.00       4.542    
   32.00       4.248    
   33.00       3.917    
   34.00       3.563    
   35.00       3.199    
   36.00       2.839    
   37.00       2.496    
   38.00       2.178    
   39.00       1.893    
   40.00       1.647    
   41.00       1.439    
   42.00       1.270    
   43.00       1.137    
   44.00       1.037    
   45.00      0.9631    
   46.00      0.9114    
   47.00      0.8760    
   48.00      0.8519    
   49.00      0.8347    
   50.00      0.8206    
   51.00      0.8068    
   52.00      0.7915    
   53.00      0.7734    
   54.00      0.7523    
   55.00      0.7284    
   56.00      0.7021    
   57.00      0.6743    
   58.00      0.6460    
   59.00      0.6181    
   60.00      0.5915    
   61.00      0.5667    
   62.00      0.5443    
   63.00      0.5244    
   64.00      0.5072    
   65.00      0.4924    
   66.00      0.4797    
   67.00      0.4686    
   68.00      0.4586    
   69.00      0.4492    
   70.00      0.4399    
   71.00      0.4301    
   72.00      0.4195    
   73.00      0.4077    
   74.00      0.3946    
   75.00      0.3801    
   76.00      0.3643    
   77.00      0.3471    
   78.00      0.3289    
   79.00      0.3099    
   80.00      0.2903    
 END
