#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 7623 keV Jpi=3+ l=2 n=2 j=5/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       21.78    
   1.000       21.85    
   2.000       22.06    
   3.000       22.39    
   4.000       22.84    
   5.000       23.36    
   6.000       23.93    
   7.000       24.51    
   8.000       25.05    
   9.000       25.49    
   10.00       25.79    
   11.00       25.90    
   12.00       25.77    
   13.00       25.37    
   14.00       24.68    
   15.00       23.69    
   16.00       22.43    
   17.00       20.94    
   18.00       19.26    
   19.00       17.45    
   20.00       15.58    
   21.00       13.72    
   22.00       11.92    
   23.00       10.25    
   24.00       8.744    
   25.00       7.430    
   26.00       6.326    
   27.00       5.434    
   28.00       4.746    
   29.00       4.242    
   30.00       3.894    
   31.00       3.672    
   32.00       3.541    
   33.00       3.469    
   34.00       3.427    
   35.00       3.390    
   36.00       3.340    
   37.00       3.264    
   38.00       3.154    
   39.00       3.011    
   40.00       2.836    
   41.00       2.635    
   42.00       2.416    
   43.00       2.189    
   44.00       1.963    
   45.00       1.745    
   46.00       1.545    
   47.00       1.366    
   48.00       1.213    
   49.00       1.086    
   50.00      0.9847    
   51.00      0.9076    
   52.00      0.8511    
   53.00      0.8113    
   54.00      0.7839    
   55.00      0.7645    
   56.00      0.7492    
   57.00      0.7346    
   58.00      0.7180    
   59.00      0.6975    
   60.00      0.6718    
   61.00      0.6408    
   62.00      0.6048    
   63.00      0.5648    
   64.00      0.5221    
   65.00      0.4785    
   66.00      0.4355    
   67.00      0.3949    
   68.00      0.3579    
   69.00      0.3257    
   70.00      0.2991    
   71.00      0.2786    
   72.00      0.2641    
   73.00      0.2555    
   74.00      0.2523    
   75.00      0.2538    
   76.00      0.2589    
   77.00      0.2666    
   78.00      0.2758    
   79.00      0.2855    
   80.00      0.2945    
 END
