#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 9226.69 keV Jpi=2+ l=2 n=2 j=5/2"                
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       13.03    
   1.000       13.05    
   2.000       13.12    
   3.000       13.23    
   4.000       13.36    
   5.000       13.50    
   6.000       13.65    
   7.000       13.77    
   8.000       13.86    
   9.000       13.88    
   10.00       13.82    
   11.00       13.67    
   12.00       13.42    
   13.00       13.05    
   14.00       12.57    
   15.00       11.98    
   16.00       11.30    
   17.00       10.54    
   18.00       9.731    
   19.00       8.884    
   20.00       8.029    
   21.00       7.188    
   22.00       6.384    
   23.00       5.635    
   24.00       4.956    
   25.00       4.357    
   26.00       3.842    
   27.00       3.413    
   28.00       3.066    
   29.00       2.792    
   30.00       2.583    
   31.00       2.427    
   32.00       2.311    
   33.00       2.223    
   34.00       2.153    
   35.00       2.091    
   36.00       2.029    
   37.00       1.962    
   38.00       1.885    
   39.00       1.798    
   40.00       1.700    
   41.00       1.593    
   42.00       1.479    
   43.00       1.361    
   44.00       1.243    
   45.00       1.127    
   46.00       1.018    
   47.00      0.9163    
   48.00      0.8247    
   49.00      0.7441    
   50.00      0.6749    
   51.00      0.6168    
   52.00      0.5690    
   53.00      0.5304    
   54.00      0.4994    
   55.00      0.4745    
   56.00      0.4540    
   57.00      0.4364    
   58.00      0.4203    
   59.00      0.4047    
   60.00      0.3887    
   61.00      0.3717    
   62.00      0.3537    
   63.00      0.3345    
   64.00      0.3145    
   65.00      0.2939    
   66.00      0.2734    
   67.00      0.2536    
   68.00      0.2348    
   69.00      0.2177    
   70.00      0.2027    
   71.00      0.1902    
   72.00      0.1802    
   73.00      0.1728    
   74.00      0.1680    
   75.00      0.1657    
   76.00      0.1654    
   77.00      0.1669    
   78.00      0.1696    
   79.00      0.1733    
   80.00      0.1772    
 END
