#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 9226.69 keV Jpi=2+ l=2 n=3 j=3/2"                
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       23.98    
   1.000       23.99    
   2.000       24.03    
   3.000       24.09    
   4.000       24.15    
   5.000       24.20    
   6.000       24.22    
   7.000       24.18    
   8.000       24.06    
   9.000       23.84    
   10.00       23.50    
   11.00       23.03    
   12.00       22.40    
   13.00       21.63    
   14.00       20.72    
   15.00       19.67    
   16.00       18.50    
   17.00       17.24    
   18.00       15.92    
   19.00       14.57    
   20.00       13.23    
   21.00       11.94    
   22.00       10.71    
   23.00       9.589    
   24.00       8.579    
   25.00       7.695    
   26.00       6.940    
   27.00       6.307    
   28.00       5.788    
   29.00       5.368    
   30.00       5.029    
   31.00       4.752    
   32.00       4.520    
   33.00       4.313    
   34.00       4.118    
   35.00       3.922    
   36.00       3.716    
   37.00       3.494    
   38.00       3.255    
   39.00       3.001    
   40.00       2.736    
   41.00       2.466    
   42.00       2.197    
   43.00       1.937    
   44.00       1.693    
   45.00       1.470    
   46.00       1.274    
   47.00       1.107    
   48.00      0.9709    
   49.00      0.8660    
   50.00      0.7907    
   51.00      0.7423    
   52.00      0.7171    
   53.00      0.7105    
   54.00      0.7177    
   55.00      0.7340    
   56.00      0.7548    
   57.00      0.7758    
   58.00      0.7937    
   59.00      0.8058    
   60.00      0.8099    
   61.00      0.8050    
   62.00      0.7907    
   63.00      0.7672    
   64.00      0.7353    
   65.00      0.6962    
   66.00      0.6517    
   67.00      0.6032    
   68.00      0.5528    
   69.00      0.5019    
   70.00      0.4523    
   71.00      0.4050    
   72.00      0.3612    
   73.00      0.3217    
   74.00      0.2868    
   75.00      0.2567    
   76.00      0.2315    
   77.00      0.2109    
   78.00      0.1945    
   79.00      0.1816    
   80.00      0.1717    
 END
