#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 7623 keV Jpi=4+ l=2 n=3 j=5/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       48.24    
   1.000       48.37    
   2.000       48.76    
   3.000       49.38    
   4.000       50.20    
   5.000       51.18    
   6.000       52.26    
   7.000       53.36    
   8.000       54.40    
   9.000       55.28    
   10.00       55.88    
   11.00       56.11    
   12.00       55.87    
   13.00       55.08    
   14.00       53.70    
   15.00       51.72    
   16.00       49.16    
   17.00       46.11    
   18.00       42.64    
   19.00       38.90    
   20.00       35.01    
   21.00       31.11    
   22.00       27.33    
   23.00       23.79    
   24.00       20.57    
   25.00       17.73    
   26.00       15.33    
   27.00       13.35    
   28.00       11.79    
   29.00       10.61    
   30.00       9.746    
   31.00       9.141    
   32.00       8.724    
   33.00       8.428    
   34.00       8.194    
   35.00       7.972    
   36.00       7.725    
   37.00       7.428    
   38.00       7.069    
   39.00       6.647    
   40.00       6.169    
   41.00       5.649    
   42.00       5.106    
   43.00       4.559    
   44.00       4.029    
   45.00       3.534    
   46.00       3.088    
   47.00       2.702    
   48.00       2.382    
   49.00       2.128    
   50.00       1.939    
   51.00       1.808    
   52.00       1.726    
   53.00       1.683    
   54.00       1.667    
   55.00       1.668    
   56.00       1.675    
   57.00       1.681    
   58.00       1.678    
   59.00       1.661    
   60.00       1.627    
   61.00       1.575    
   62.00       1.505    
   63.00       1.421    
   64.00       1.324    
   65.00       1.218    
   66.00       1.109    
   67.00      0.9986    
   68.00      0.8920    
   69.00      0.7920    
   70.00      0.7010    
   71.00      0.6209    
   72.00      0.5528    
   73.00      0.4971    
   74.00      0.4535    
   75.00      0.4211    
   76.00      0.3986    
   77.00      0.3844    
   78.00      0.3766    
   79.00      0.3734    
   80.00      0.3728    
 END
