#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8188 keV Jpi=4+ l=4 n=2 j=9/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       5.311    
   1.000       5.313    
   2.000       5.317    
   3.000       5.326    
   4.000       5.338    
   5.000       5.356    
   6.000       5.380    
   7.000       5.412    
   8.000       5.451    
   9.000       5.499    
   10.00       5.557    
   11.00       5.625    
   12.00       5.705    
   13.00       5.795    
   14.00       5.896    
   15.00       6.004    
   16.00       6.117    
   17.00       6.229    
   18.00       6.337    
   19.00       6.433    
   20.00       6.512    
   21.00       6.566    
   22.00       6.591    
   23.00       6.580    
   24.00       6.530    
   25.00       6.438    
   26.00       6.299    
   27.00       6.116    
   28.00       5.887    
   29.00       5.616    
   30.00       5.308    
   31.00       4.968    
   32.00       4.604    
   33.00       4.225    
   34.00       3.837    
   35.00       3.451    
   36.00       3.075    
   37.00       2.714    
   38.00       2.377    
   39.00       2.068    
   40.00       1.791    
   41.00       1.547    
   42.00       1.339    
   43.00       1.166    
   44.00       1.027    
   45.00      0.9182    
   46.00      0.8375    
   47.00      0.7805    
   48.00      0.7429    
   49.00      0.7202    
   50.00      0.7082    
   51.00      0.7029    
   52.00      0.7009    
   53.00      0.6994    
   54.00      0.6961    
   55.00      0.6893    
   56.00      0.6779    
   57.00      0.6614    
   58.00      0.6398    
   59.00      0.6135    
   60.00      0.5831    
   61.00      0.5497    
   62.00      0.5142    
   63.00      0.4777    
   64.00      0.4414    
   65.00      0.4060    
   66.00      0.3725    
   67.00      0.3414    
   68.00      0.3131    
   69.00      0.2880    
   70.00      0.2661    
   71.00      0.2474    
   72.00      0.2318    
   73.00      0.2188    
   74.00      0.2081    
   75.00      0.1993    
   76.00      0.1918    
   77.00      0.1854    
   78.00      0.1795    
   79.00      0.1739    
   80.00      0.1684    
 END
