#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8188 keV Jpi=3+ l=4 n=2 j=7/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       3.585    
   1.000       3.595    
   2.000       3.625    
   3.000       3.672    
   4.000       3.735    
   5.000       3.812    
   6.000       3.899    
   7.000       3.995    
   8.000       4.099    
   9.000       4.207    
   10.00       4.319    
   11.00       4.433    
   12.00       4.545    
   13.00       4.655    
   14.00       4.759    
   15.00       4.855    
   16.00       4.942    
   17.00       5.018    
   18.00       5.081    
   19.00       5.127    
   20.00       5.155    
   21.00       5.160    
   22.00       5.140    
   23.00       5.093    
   24.00       5.016    
   25.00       4.909    
   26.00       4.770    
   27.00       4.602    
   28.00       4.405    
   29.00       4.182    
   30.00       3.936    
   31.00       3.671    
   32.00       3.393    
   33.00       3.106    
   34.00       2.817    
   35.00       2.532    
   36.00       2.256    
   37.00       1.995    
   38.00       1.752    
   39.00       1.531    
   40.00       1.335    
   41.00       1.165    
   42.00       1.020    
   43.00      0.9003    
   44.00      0.8043    
   45.00      0.7297    
   46.00      0.6739    
   47.00      0.6337    
   48.00      0.6063    
   49.00      0.5884    
   50.00      0.5771    
   51.00      0.5698    
   52.00      0.5640    
   53.00      0.5577    
   54.00      0.5494    
   55.00      0.5379    
   56.00      0.5226    
   57.00      0.5035    
   58.00      0.4807    
   59.00      0.4550    
   60.00      0.4270    
   61.00      0.3977    
   62.00      0.3679    
   63.00      0.3385    
   64.00      0.3101    
   65.00      0.2832    
   66.00      0.2583    
   67.00      0.2358    
   68.00      0.2159    
   69.00      0.1987    
   70.00      0.1842    
   71.00      0.1724    
   72.00      0.1628    
   73.00      0.1553    
   74.00      0.1494    
   75.00      0.1446    
   76.00      0.1407    
   77.00      0.1371    
   78.00      0.1336    
   79.00      0.1301    
   80.00      0.1262    
 END
