#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 9227.43 keV Jpi=1+ l=2 n=2 j=5/2"                
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       7.813    
   1.000       7.827    
   2.000       7.867    
   3.000       7.931    
   4.000       8.012    
   5.000       8.101    
   6.000       8.188    
   7.000       8.262    
   8.000       8.312    
   9.000       8.325    
   10.00       8.291    
   11.00       8.200    
   12.00       8.046    
   13.00       7.825    
   14.00       7.537    
   15.00       7.186    
   16.00       6.778    
   17.00       6.324    
   18.00       5.837    
   19.00       5.329    
   20.00       4.816    
   21.00       4.312    
   22.00       3.829    
   23.00       3.380    
   24.00       2.973    
   25.00       2.613    
   26.00       2.305    
   27.00       2.048    
   28.00       1.839    
   29.00       1.675    
   30.00       1.550    
   31.00       1.456    
   32.00       1.386    
   33.00       1.334    
   34.00       1.292    
   35.00       1.254    
   36.00       1.217    
   37.00       1.177    
   38.00       1.131    
   39.00       1.079    
   40.00       1.020    
   41.00      0.9557    
   42.00      0.8873    
   43.00      0.8166    
   44.00      0.7457    
   45.00      0.6764    
   46.00      0.6106    
   47.00      0.5497    
   48.00      0.4947    
   49.00      0.4464    
   50.00      0.4049    
   51.00      0.3700    
   52.00      0.3413    
   53.00      0.3182    
   54.00      0.2996    
   55.00      0.2846    
   56.00      0.2723    
   57.00      0.2618    
   58.00      0.2522    
   59.00      0.2428    
   60.00      0.2332    
   61.00      0.2230    
   62.00      0.2122    
   63.00      0.2007    
   64.00      0.1886    
   65.00      0.1763    
   66.00      0.1640    
   67.00      0.1521    
   68.00      0.1409    
   69.00      0.1306    
   70.00      0.1216    
   71.00      0.1141    
   72.00      0.1081    
   73.00      0.1037    
   74.00      0.1008    
   75.00      0.9940E-01
   76.00      0.9924E-01
   77.00      0.1001    
   78.00      0.1018    
   79.00      0.1039    
   80.00      0.1063    
 END
