#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8188 keV Jpi=3+ l=4 n=2 j=9/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       4.123    
   1.000       4.125    
   2.000       4.130    
   3.000       4.138    
   4.000       4.150    
   5.000       4.166    
   6.000       4.186    
   7.000       4.211    
   8.000       4.241    
   9.000       4.278    
   10.00       4.323    
   11.00       4.375    
   12.00       4.437    
   13.00       4.507    
   14.00       4.586    
   15.00       4.670    
   16.00       4.757    
   17.00       4.845    
   18.00       4.928    
   19.00       5.003    
   20.00       5.064    
   21.00       5.107    
   22.00       5.126    
   23.00       5.118    
   24.00       5.079    
   25.00       5.007    
   26.00       4.900    
   27.00       4.757    
   28.00       4.579    
   29.00       4.368    
   30.00       4.129    
   31.00       3.864    
   32.00       3.581    
   33.00       3.286    
   34.00       2.985    
   35.00       2.684    
   36.00       2.391    
   37.00       2.111    
   38.00       1.849    
   39.00       1.608    
   40.00       1.392    
   41.00       1.203    
   42.00       1.041    
   43.00      0.9071    
   44.00      0.7987    
   45.00      0.7145    
   46.00      0.6517    
   47.00      0.6072    
   48.00      0.5778    
   49.00      0.5600    
   50.00      0.5506    
   51.00      0.5465    
   52.00      0.5451    
   53.00      0.5440    
   54.00      0.5415    
   55.00      0.5362    
   56.00      0.5274    
   57.00      0.5145    
   58.00      0.4976    
   59.00      0.4771    
   60.00      0.4534    
   61.00      0.4274    
   62.00      0.3999    
   63.00      0.3716    
   64.00      0.3434    
   65.00      0.3159    
   66.00      0.2898    
   67.00      0.2656    
   68.00      0.2435    
   69.00      0.2239    
   70.00      0.2069    
   71.00      0.1923    
   72.00      0.1802    
   73.00      0.1701    
   74.00      0.1619    
   75.00      0.1551    
   76.00      0.1493    
   77.00      0.1443    
   78.00      0.1397    
   79.00      0.1353    
   80.00      0.1309    
 END
