#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 9227.43 keV Jpi=2+ l=4 n=2 j=7/2"                
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       2.971    
   1.000       2.974    
   2.000       2.983    
   3.000       3.000    
   4.000       3.023    
   5.000       3.055    
   6.000       3.093    
   7.000       3.136    
   8.000       3.182    
   9.000       3.229    
   10.00       3.275    
   11.00       3.319    
   12.00       3.359    
   13.00       3.396    
   14.00       3.427    
   15.00       3.453    
   16.00       3.472    
   17.00       3.482    
   18.00       3.482    
   19.00       3.472    
   20.00       3.450    
   21.00       3.415    
   22.00       3.367    
   23.00       3.304    
   24.00       3.227    
   25.00       3.134    
   26.00       3.027    
   27.00       2.906    
   28.00       2.771    
   29.00       2.626    
   30.00       2.470    
   31.00       2.308    
   32.00       2.140    
   33.00       1.970    
   34.00       1.800    
   35.00       1.633    
   36.00       1.472    
   37.00       1.318    
   38.00       1.176    
   39.00       1.045    
   40.00      0.9283    
   41.00      0.8257    
   42.00      0.7373    
   43.00      0.6625    
   44.00      0.6004    
   45.00      0.5499    
   46.00      0.5097    
   47.00      0.4784    
   48.00      0.4548    
   49.00      0.4373    
   50.00      0.4245    
   51.00      0.4149    
   52.00      0.4069    
   53.00      0.3994    
   54.00      0.3912    
   55.00      0.3816    
   56.00      0.3701    
   57.00      0.3566    
   58.00      0.3411    
   59.00      0.3241    
   60.00      0.3058    
   61.00      0.2866    
   62.00      0.2669    
   63.00      0.2472    
   64.00      0.2277    
   65.00      0.2089    
   66.00      0.1910    
   67.00      0.1745    
   68.00      0.1594    
   69.00      0.1461    
   70.00      0.1346    
   71.00      0.1247    
   72.00      0.1165    
   73.00      0.1096    
   74.00      0.1039    
   75.00      0.9918E-01
   76.00      0.9525E-01
   77.00      0.9192E-01
   78.00      0.8905E-01
   79.00      0.8646E-01
   80.00      0.8400E-01
 END
