#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 7623 keV Jpi=4+ l=4 n=1 j=9/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       1.752    
   1.000       1.749    
   2.000       1.742    
   3.000       1.730    
   4.000       1.715    
   5.000       1.697    
   6.000       1.679    
   7.000       1.662    
   8.000       1.648    
   9.000       1.639    
   10.00       1.636    
   11.00       1.640    
   12.00       1.654    
   13.00       1.675    
   14.00       1.706    
   15.00       1.745    
   16.00       1.790    
   17.00       1.840    
   18.00       1.893    
   19.00       1.946    
   20.00       1.996    
   21.00       2.040    
   22.00       2.075    
   23.00       2.098    
   24.00       2.107    
   25.00       2.100    
   26.00       2.075    
   27.00       2.032    
   28.00       1.970    
   29.00       1.892    
   30.00       1.798    
   31.00       1.690    
   32.00       1.571    
   33.00       1.445    
   34.00       1.314    
   35.00       1.181    
   36.00       1.050    
   37.00      0.9247    
   38.00      0.8066    
   39.00      0.6980    
   40.00      0.6007    
   41.00      0.5155    
   42.00      0.4430    
   43.00      0.3831    
   44.00      0.3352    
   45.00      0.2985    
   46.00      0.2718    
   47.00      0.2535    
   48.00      0.2422    
   49.00      0.2361    
   50.00      0.2338    
   51.00      0.2337    
   52.00      0.2346    
   53.00      0.2354    
   54.00      0.2354    
   55.00      0.2340    
   56.00      0.2308    
   57.00      0.2257    
   58.00      0.2187    
   59.00      0.2100    
   60.00      0.1999    
   61.00      0.1887    
   62.00      0.1767    
   63.00      0.1644    
   64.00      0.1520    
   65.00      0.1401    
   66.00      0.1287    
   67.00      0.1181    
   68.00      0.1085    
   69.00      0.9992E-01
   70.00      0.9238E-01
   71.00      0.8583E-01
   72.00      0.8018E-01
   73.00      0.7534E-01
   74.00      0.7116E-01
   75.00      0.6753E-01
   76.00      0.6431E-01
   77.00      0.6140E-01
   78.00      0.5871E-01
   79.00      0.5616E-01
   80.00      0.5371E-01
 END
