#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 9227.43 keV Jpi=1+ l=2 n=3 j=5/2"                
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       13.11    
   1.000       13.13    
   2.000       13.18    
   3.000       13.27    
   4.000       13.38    
   5.000       13.51    
   6.000       13.62    
   7.000       13.72    
   8.000       13.78    
   9.000       13.79    
   10.00       13.73    
   11.00       13.59    
   12.00       13.35    
   13.00       13.01    
   14.00       12.57    
   15.00       12.03    
   16.00       11.40    
   17.00       10.70    
   18.00       9.939    
   19.00       9.141    
   20.00       8.330    
   21.00       7.527    
   22.00       6.753    
   23.00       6.026    
   24.00       5.358    
   25.00       4.760    
   26.00       4.236    
   27.00       3.788    
   28.00       3.413    
   29.00       3.105    
   30.00       2.855    
   31.00       2.653    
   32.00       2.490    
   33.00       2.355    
   34.00       2.238    
   35.00       2.130    
   36.00       2.026    
   37.00       1.920    
   38.00       1.809    
   39.00       1.693    
   40.00       1.573    
   41.00       1.449    
   42.00       1.324    
   43.00       1.201    
   44.00       1.083    
   45.00      0.9731    
   46.00      0.8731    
   47.00      0.7849    
   48.00      0.7096    
   49.00      0.6477    
   50.00      0.5989    
   51.00      0.5622    
   52.00      0.5361    
   53.00      0.5189    
   54.00      0.5085    
   55.00      0.5027    
   56.00      0.4996    
   57.00      0.4974    
   58.00      0.4943    
   59.00      0.4892    
   60.00      0.4810    
   61.00      0.4694    
   62.00      0.4539    
   63.00      0.4348    
   64.00      0.4123    
   65.00      0.3870    
   66.00      0.3597    
   67.00      0.3312    
   68.00      0.3022    
   69.00      0.2737    
   70.00      0.2463    
   71.00      0.2206    
   72.00      0.1972    
   73.00      0.1765    
   74.00      0.1584    
   75.00      0.1433    
   76.00      0.1309    
   77.00      0.1211    
   78.00      0.1137    
   79.00      0.1084    
   80.00      0.1048    
 END
