#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 9226.69 keV Jpi=2+ l=0 n=3 j=1/2"                
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       39.53    
   1.000       39.06    
   2.000       37.68    
   3.000       35.49    
   4.000       32.60    
   5.000       29.20    
   6.000       25.48    
   7.000       21.64    
   8.000       17.87    
   9.000       14.34    
   10.00       11.18    
   11.00       8.482    
   12.00       6.295    
   13.00       4.622    
   14.00       3.433    
   15.00       2.667    
   16.00       2.247    
   17.00       2.086    
   18.00       2.097    
   19.00       2.204    
   20.00       2.343    
   21.00       2.466    
   22.00       2.545    
   23.00       2.568    
   24.00       2.534    
   25.00       2.456    
   26.00       2.350    
   27.00       2.236    
   28.00       2.131    
   29.00       2.051    
   30.00       2.005    
   31.00       1.998    
   32.00       2.029    
   33.00       2.092    
   34.00       2.178    
   35.00       2.277    
   36.00       2.374    
   37.00       2.460    
   38.00       2.522    
   39.00       2.555    
   40.00       2.550    
   41.00       2.508    
   42.00       2.426    
   43.00       2.309    
   44.00       2.160    
   45.00       1.987    
   46.00       1.795    
   47.00       1.593    
   48.00       1.388    
   49.00       1.187    
   50.00      0.9955    
   51.00      0.8192    
   52.00      0.6617    
   53.00      0.5256    
   54.00      0.4125    
   55.00      0.3227    
   56.00      0.2557    
   57.00      0.2100    
   58.00      0.1838    
   59.00      0.1744    
   60.00      0.1793    
   61.00      0.1956    
   62.00      0.2203    
   63.00      0.2507    
   64.00      0.2841    
   65.00      0.3184    
   66.00      0.3514    
   67.00      0.3814    
   68.00      0.4071    
   69.00      0.4275    
   70.00      0.4419    
   71.00      0.4500    
   72.00      0.4517    
   73.00      0.4471    
   74.00      0.4366    
   75.00      0.4208    
   76.00      0.4003    
   77.00      0.3761    
   78.00      0.3488    
   79.00      0.3194    
   80.00      0.2888    
 END
