#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8748 keV Jpi=2+ l=2 n=2 j=5/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       15.24    
   1.000       15.28    
   2.000       15.37    
   3.000       15.52    
   4.000       15.72    
   5.000       15.93    
   6.000       16.15    
   7.000       16.34    
   8.000       16.48    
   9.000       16.55    
   10.00       16.52    
   11.00       16.37    
   12.00       16.09    
   13.00       15.67    
   14.00       15.11    
   15.00       14.40    
   16.00       13.58    
   17.00       12.65    
   18.00       11.64    
   19.00       10.59    
   20.00       9.524    
   21.00       8.479    
   22.00       7.481    
   23.00       6.555    
   24.00       5.720    
   25.00       4.987    
   26.00       4.364    
   27.00       3.849    
   28.00       3.437    
   29.00       3.119    
   30.00       2.880    
   31.00       2.707    
   32.00       2.582    
   33.00       2.491    
   34.00       2.420    
   35.00       2.356    
   36.00       2.290    
   37.00       2.214    
   38.00       2.126    
   39.00       2.023    
   40.00       1.907    
   41.00       1.779    
   42.00       1.643    
   43.00       1.503    
   44.00       1.364    
   45.00       1.229    
   46.00       1.102    
   47.00      0.9868    
   48.00      0.8840    
   49.00      0.7953    
   50.00      0.7207    
   51.00      0.6598    
   52.00      0.6111    
   53.00      0.5730    
   54.00      0.5433    
   55.00      0.5201    
   56.00      0.5011    
   57.00      0.4846    
   58.00      0.4689    
   59.00      0.4529    
   60.00      0.4355    
   61.00      0.4165    
   62.00      0.3955    
   63.00      0.3728    
   64.00      0.3488    
   65.00      0.3242    
   66.00      0.2997    
   67.00      0.2760    
   68.00      0.2538    
   69.00      0.2339    
   70.00      0.2166    
   71.00      0.2025    
   72.00      0.1915    
   73.00      0.1838    
   74.00      0.1792    
   75.00      0.1774    
   76.00      0.1780    
   77.00      0.1804    
   78.00      0.1842    
   79.00      0.1889    
   80.00      0.1937    
 END
