#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8188 keV Jpi=5- l=5 n=1 j=11/2"                  
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000      0.4583    
   1.000      0.4583    
   2.000      0.4582    
   3.000      0.4583    
   4.000      0.4587    
   5.000      0.4597    
   6.000      0.4616    
   7.000      0.4646    
   8.000      0.4691    
   9.000      0.4754    
   10.00      0.4838    
   11.00      0.4945    
   12.00      0.5075    
   13.00      0.5231    
   14.00      0.5413    
   15.00      0.5621    
   16.00      0.5852    
   17.00      0.6106    
   18.00      0.6380    
   19.00      0.6670    
   20.00      0.6971    
   21.00      0.7280    
   22.00      0.7589    
   23.00      0.7893    
   24.00      0.8185    
   25.00      0.8458    
   26.00      0.8705    
   27.00      0.8918    
   28.00      0.9089    
   29.00      0.9214    
   30.00      0.9284    
   31.00      0.9297    
   32.00      0.9247    
   33.00      0.9134    
   34.00      0.8956    
   35.00      0.8717    
   36.00      0.8418    
   37.00      0.8066    
   38.00      0.7668    
   39.00      0.7232    
   40.00      0.6769    
   41.00      0.6286    
   42.00      0.5796    
   43.00      0.5307    
   44.00      0.4828    
   45.00      0.4368    
   46.00      0.3933    
   47.00      0.3531    
   48.00      0.3164    
   49.00      0.2837    
   50.00      0.2551    
   51.00      0.2306    
   52.00      0.2102    
   53.00      0.1935    
   54.00      0.1804    
   55.00      0.1704    
   56.00      0.1631    
   57.00      0.1581    
   58.00      0.1548    
   59.00      0.1527    
   60.00      0.1516    
   61.00      0.1509    
   62.00      0.1503    
   63.00      0.1496    
   64.00      0.1486    
   65.00      0.1470    
   66.00      0.1450    
   67.00      0.1423    
   68.00      0.1390    
   69.00      0.1351    
   70.00      0.1308    
   71.00      0.1262    
   72.00      0.1212    
   73.00      0.1162    
   74.00      0.1110    
   75.00      0.1059    
   76.00      0.1009    
   77.00      0.9612E-01
   78.00      0.9156E-01
   79.00      0.8727E-01
   80.00      0.8328E-01
 END
