#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 9226.69 keV Jpi=3- l=3 n=2 j=5/2"                
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       10.72    
   1.000       10.75    
   2.000       10.82    
   3.000       10.93    
   4.000       11.08    
   5.000       11.27    
   6.000       11.47    
   7.000       11.69    
   8.000       11.91    
   9.000       12.12    
   10.00       12.30    
   11.00       12.44    
   12.00       12.53    
   13.00       12.56    
   14.00       12.51    
   15.00       12.39    
   16.00       12.19    
   17.00       11.90    
   18.00       11.53    
   19.00       11.08    
   20.00       10.56    
   21.00       9.973    
   22.00       9.330    
   23.00       8.647    
   24.00       7.937    
   25.00       7.217    
   26.00       6.502    
   27.00       5.807    
   28.00       5.145    
   29.00       4.529    
   30.00       3.967    
   31.00       3.467    
   32.00       3.033    
   33.00       2.665    
   34.00       2.364    
   35.00       2.126    
   36.00       1.945    
   37.00       1.814    
   38.00       1.725    
   39.00       1.669    
   40.00       1.638    
   41.00       1.622    
   42.00       1.614    
   43.00       1.607    
   44.00       1.596    
   45.00       1.578    
   46.00       1.548    
   47.00       1.506    
   48.00       1.451    
   49.00       1.384    
   50.00       1.306    
   51.00       1.220    
   52.00       1.127    
   53.00       1.031    
   54.00      0.9349    
   55.00      0.8407    
   56.00      0.7507    
   57.00      0.6669    
   58.00      0.5904    
   59.00      0.5223    
   60.00      0.4626    
   61.00      0.4115    
   62.00      0.3684    
   63.00      0.3329    
   64.00      0.3040    
   65.00      0.2808    
   66.00      0.2624    
   67.00      0.2478    
   68.00      0.2358    
   69.00      0.2257    
   70.00      0.2168    
   71.00      0.2083    
   72.00      0.2000    
   73.00      0.1916    
   74.00      0.1830    
   75.00      0.1744    
   76.00      0.1658    
   77.00      0.1575    
   78.00      0.1495    
   79.00      0.1421    
   80.00      0.1355    
 END
