#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8935 keV Jpi=2+ l=2 n=1 j=3/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       6.321    
   1.000       6.333    
   2.000       6.367    
   3.000       6.420    
   4.000       6.487    
   5.000       6.559    
   6.000       6.629    
   7.000       6.686    
   8.000       6.721    
   9.000       6.723    
   10.00       6.684    
   11.00       6.597    
   12.00       6.456    
   13.00       6.260    
   14.00       6.009    
   15.00       5.705    
   16.00       5.356    
   17.00       4.971    
   18.00       4.560    
   19.00       4.135    
   20.00       3.709    
   21.00       3.295    
   22.00       2.904    
   23.00       2.546    
   24.00       2.226    
   25.00       1.951    
   26.00       1.720    
   27.00       1.533    
   28.00       1.387    
   29.00       1.277    
   30.00       1.197    
   31.00       1.141    
   32.00       1.102    
   33.00       1.074    
   34.00       1.051    
   35.00       1.028    
   36.00       1.002    
   37.00      0.9698    
   38.00      0.9304    
   39.00      0.8837    
   40.00      0.8302    
   41.00      0.7713    
   42.00      0.7089    
   43.00      0.6450    
   44.00      0.5816    
   45.00      0.5207    
   46.00      0.4639    
   47.00      0.4125    
   48.00      0.3672    
   49.00      0.3287    
   50.00      0.2968    
   51.00      0.2712    
   52.00      0.2514    
   53.00      0.2364    
   54.00      0.2253    
   55.00      0.2172    
   56.00      0.2108    
   57.00      0.2055    
   58.00      0.2004    
   59.00      0.1948    
   60.00      0.1884    
   61.00      0.1809    
   62.00      0.1722    
   63.00      0.1623    
   64.00      0.1514    
   65.00      0.1398    
   66.00      0.1278    
   67.00      0.1157    
   68.00      0.1038    
   69.00      0.9252E-01
   70.00      0.8205E-01
   71.00      0.7260E-01
   72.00      0.6431E-01
   73.00      0.5724E-01
   74.00      0.5141E-01
   75.00      0.4676E-01
   76.00      0.4319E-01
   77.00      0.4057E-01
   78.00      0.3875E-01
   79.00      0.3753E-01
   80.00      0.3676E-01
 END
