#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 9226.69 keV Jpi=1- l=3 n=2 j=5/2"                
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       4.595    
   1.000       4.605    
   2.000       4.635    
   3.000       4.683    
   4.000       4.748    
   5.000       4.827    
   6.000       4.916    
   7.000       5.011    
   8.000       5.105    
   9.000       5.194    
   10.00       5.272    
   11.00       5.332    
   12.00       5.370    
   13.00       5.382    
   14.00       5.363    
   15.00       5.311    
   16.00       5.223    
   17.00       5.101    
   18.00       4.942    
   19.00       4.750    
   20.00       4.526    
   21.00       4.274    
   22.00       3.999    
   23.00       3.706    
   24.00       3.402    
   25.00       3.093    
   26.00       2.787    
   27.00       2.489    
   28.00       2.205    
   29.00       1.941    
   30.00       1.700    
   31.00       1.486    
   32.00       1.300    
   33.00       1.142    
   34.00       1.013    
   35.00      0.9110    
   36.00      0.8335    
   37.00      0.7774    
   38.00      0.7393    
   39.00      0.7153    
   40.00      0.7017    
   41.00      0.6949    
   42.00      0.6915    
   43.00      0.6888    
   44.00      0.6843    
   45.00      0.6763    
   46.00      0.6636    
   47.00      0.6456    
   48.00      0.6220    
   49.00      0.5931    
   50.00      0.5597    
   51.00      0.5225    
   52.00      0.4829    
   53.00      0.4418    
   54.00      0.4006    
   55.00      0.3603    
   56.00      0.3218    
   57.00      0.2859    
   58.00      0.2531    
   59.00      0.2239    
   60.00      0.1983    
   61.00      0.1763    
   62.00      0.1579    
   63.00      0.1427    
   64.00      0.1303    
   65.00      0.1204    
   66.00      0.1125    
   67.00      0.1062    
   68.00      0.1010    
   69.00      0.9671E-01
   70.00      0.9285E-01
   71.00      0.8924E-01
   72.00      0.8569E-01
   73.00      0.8212E-01
   74.00      0.7848E-01
   75.00      0.7479E-01
   76.00      0.7111E-01
   77.00      0.6751E-01
   78.00      0.6408E-01
   79.00      0.6090E-01
   80.00      0.5804E-01
 END
