#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8484 keV Jpi=2- l=1 n=3 j=3/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       40.50    
   1.000       40.46    
   2.000       40.34    
   3.000       40.09    
   4.000       39.66    
   5.000       38.99    
   6.000       38.02    
   7.000       36.70    
   8.000       35.03    
   9.000       33.00    
   10.00       30.66    
   11.00       28.06    
   12.00       25.30    
   13.00       22.47    
   14.00       19.68    
   15.00       17.03    
   16.00       14.62    
   17.00       12.51    
   18.00       10.74    
   19.00       9.352    
   20.00       8.323    
   21.00       7.621    
   22.00       7.196    
   23.00       6.981    
   24.00       6.906    
   25.00       6.903    
   26.00       6.911    
   27.00       6.883    
   28.00       6.783    
   29.00       6.591    
   30.00       6.303    
   31.00       5.923    
   32.00       5.466    
   33.00       4.955    
   34.00       4.414    
   35.00       3.868    
   36.00       3.344    
   37.00       2.860    
   38.00       2.435    
   39.00       2.079    
   40.00       1.796    
   41.00       1.587    
   42.00       1.447    
   43.00       1.367    
   44.00       1.337    
   45.00       1.345    
   46.00       1.378    
   47.00       1.425    
   48.00       1.475    
   49.00       1.520    
   50.00       1.553    
   51.00       1.569    
   52.00       1.565    
   53.00       1.541    
   54.00       1.497    
   55.00       1.435    
   56.00       1.358    
   57.00       1.269    
   58.00       1.173    
   59.00       1.073    
   60.00      0.9719    
   61.00      0.8732    
   62.00      0.7791    
   63.00      0.6917    
   64.00      0.6121    
   65.00      0.5412    
   66.00      0.4793    
   67.00      0.4264    
   68.00      0.3820    
   69.00      0.3456    
   70.00      0.3163    
   71.00      0.2932    
   72.00      0.2753    
   73.00      0.2618    
   74.00      0.2516    
   75.00      0.2440    
   76.00      0.2383    
   77.00      0.2340    
   78.00      0.2306    
   79.00      0.2278    
   80.00      0.2253    
 END
