#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 9226.69 keV Jpi=2- l=1 n=3 j=1/2"                
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       33.17    
   1.000       33.07    
   2.000       32.76    
   3.000       32.23    
   4.000       31.47    
   5.000       30.47    
   6.000       29.22    
   7.000       27.73    
   8.000       26.01    
   9.000       24.08    
   10.00       22.00    
   11.00       19.81    
   12.00       17.58    
   13.00       15.38    
   14.00       13.28    
   15.00       11.34    
   16.00       9.612    
   17.00       8.135    
   18.00       6.926    
   19.00       5.991    
   20.00       5.314    
   21.00       4.870    
   22.00       4.620    
   23.00       4.519    
   24.00       4.522    
   25.00       4.582    
   26.00       4.659    
   27.00       4.718    
   28.00       4.734    
   29.00       4.691    
   30.00       4.580    
   31.00       4.404    
   32.00       4.168    
   33.00       3.886    
   34.00       3.570    
   35.00       3.238    
   36.00       2.904    
   37.00       2.582    
   38.00       2.283    
   39.00       2.016    
   40.00       1.785    
   41.00       1.591    
   42.00       1.436    
   43.00       1.314    
   44.00       1.223    
   45.00       1.156    
   46.00       1.107    
   47.00       1.072    
   48.00       1.044    
   49.00       1.019    
   50.00      0.9941    
   51.00      0.9670    
   52.00      0.9362    
   53.00      0.9014    
   54.00      0.8627    
   55.00      0.8211    
   56.00      0.7777    
   57.00      0.7340    
   58.00      0.6912    
   59.00      0.6505    
   60.00      0.6130    
   61.00      0.5791    
   62.00      0.5493    
   63.00      0.5235    
   64.00      0.5014    
   65.00      0.4825    
   66.00      0.4661    
   67.00      0.4515    
   68.00      0.4377    
   69.00      0.4240    
   70.00      0.4097    
   71.00      0.3944    
   72.00      0.3775    
   73.00      0.3589    
   74.00      0.3386    
   75.00      0.3166    
   76.00      0.2933    
   77.00      0.2691    
   78.00      0.2443    
   79.00      0.2196    
   80.00      0.1954    
 END
