#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8935 keV Jpi=2+ l=2 n=3 j=5/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       24.13    
   1.000       24.17    
   2.000       24.28    
   3.000       24.47    
   4.000       24.70    
   5.000       24.96    
   6.000       25.22    
   7.000       25.44    
   8.000       25.60    
   9.000       25.65    
   10.00       25.57    
   11.00       25.33    
   12.00       24.90    
   13.00       24.29    
   14.00       23.47    
   15.00       22.45    
   16.00       21.26    
   17.00       19.92    
   18.00       18.47    
   19.00       16.95    
   20.00       15.40    
   21.00       13.87    
   22.00       12.39    
   23.00       11.01    
   24.00       9.744    
   25.00       8.618    
   26.00       7.638    
   27.00       6.806    
   28.00       6.117    
   29.00       5.557    
   30.00       5.109    
   31.00       4.754    
   32.00       4.471    
   33.00       4.239    
   34.00       4.039    
   35.00       3.854    
   36.00       3.672    
   37.00       3.485    
   38.00       3.286    
   39.00       3.076    
   40.00       2.854    
   41.00       2.625    
   42.00       2.393    
   43.00       2.165    
   44.00       1.945    
   45.00       1.740    
   46.00       1.555    
   47.00       1.392    
   48.00       1.254    
   49.00       1.141    
   50.00       1.052    
   51.00      0.9868    
   52.00      0.9410    
   53.00      0.9114    
   54.00      0.8941    
   55.00      0.8851    
   56.00      0.8806    
   57.00      0.8771    
   58.00      0.8716    
   59.00      0.8620    
   60.00      0.8465    
   61.00      0.8243    
   62.00      0.7951    
   63.00      0.7591    
   64.00      0.7172    
   65.00      0.6705    
   66.00      0.6205    
   67.00      0.5687    
   68.00      0.5167    
   69.00      0.4659    
   70.00      0.4176    
   71.00      0.3730    
   72.00      0.3328    
   73.00      0.2975    
   74.00      0.2674    
   75.00      0.2426    
   76.00      0.2228    
   77.00      0.2076    
   78.00      0.1964    
   79.00      0.1887    
   80.00      0.1838    
 END
