#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 9227.43 keV Jpi=2+ l=0 n=3 j=1/2"                
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       39.50    
   1.000       39.03    
   2.000       37.65    
   3.000       35.46    
   4.000       32.58    
   5.000       29.18    
   6.000       25.47    
   7.000       21.63    
   8.000       17.87    
   9.000       14.34    
   10.00       11.18    
   11.00       8.485    
   12.00       6.297    
   13.00       4.624    
   14.00       3.434    
   15.00       2.668    
   16.00       2.248    
   17.00       2.086    
   18.00       2.098    
   19.00       2.205    
   20.00       2.343    
   21.00       2.466    
   22.00       2.545    
   23.00       2.567    
   24.00       2.533    
   25.00       2.455    
   26.00       2.349    
   27.00       2.235    
   28.00       2.130    
   29.00       2.050    
   30.00       2.004    
   31.00       1.997    
   32.00       2.028    
   33.00       2.091    
   34.00       2.178    
   35.00       2.276    
   36.00       2.374    
   37.00       2.459    
   38.00       2.522    
   39.00       2.554    
   40.00       2.550    
   41.00       2.507    
   42.00       2.426    
   43.00       2.308    
   44.00       2.160    
   45.00       1.986    
   46.00       1.795    
   47.00       1.593    
   48.00       1.388    
   49.00       1.187    
   50.00      0.9953    
   51.00      0.8190    
   52.00      0.6616    
   53.00      0.5256    
   54.00      0.4125    
   55.00      0.3227    
   56.00      0.2557    
   57.00      0.2100    
   58.00      0.1837    
   59.00      0.1744    
   60.00      0.1793    
   61.00      0.1955    
   62.00      0.2202    
   63.00      0.2506    
   64.00      0.2840    
   65.00      0.3183    
   66.00      0.3513    
   67.00      0.3813    
   68.00      0.4071    
   69.00      0.4275    
   70.00      0.4419    
   71.00      0.4499    
   72.00      0.4516    
   73.00      0.4470    
   74.00      0.4365    
   75.00      0.4207    
   76.00      0.4003    
   77.00      0.3760    
   78.00      0.3488    
   79.00      0.3194    
   80.00      0.2888    
 END
