#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 9226.69 keV Jpi=2- l=3 n=2 j=5/2"                
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       7.659    
   1.000       7.676    
   2.000       7.726    
   3.000       7.806    
   4.000       7.915    
   5.000       8.046    
   6.000       8.194    
   7.000       8.351    
   8.000       8.508    
   9.000       8.656    
   10.00       8.786    
   11.00       8.886    
   12.00       8.950    
   13.00       8.969    
   14.00       8.938    
   15.00       8.851    
   16.00       8.706    
   17.00       8.501    
   18.00       8.237    
   19.00       7.917    
   20.00       7.543    
   21.00       7.123    
   22.00       6.665    
   23.00       6.176    
   24.00       5.670    
   25.00       5.155    
   26.00       4.644    
   27.00       4.148    
   28.00       3.675    
   29.00       3.235    
   30.00       2.834    
   31.00       2.477    
   32.00       2.166    
   33.00       1.904    
   34.00       1.689    
   35.00       1.518    
   36.00       1.389    
   37.00       1.295    
   38.00       1.232    
   39.00       1.192    
   40.00       1.170    
   41.00       1.158    
   42.00       1.153    
   43.00       1.148    
   44.00       1.140    
   45.00       1.127    
   46.00       1.106    
   47.00       1.076    
   48.00       1.037    
   49.00      0.9887    
   50.00      0.9331    
   51.00      0.8712    
   52.00      0.8051    
   53.00      0.7365    
   54.00      0.6677    
   55.00      0.6003    
   56.00      0.5361    
   57.00      0.4763    
   58.00      0.4218    
   59.00      0.3731    
   60.00      0.3305    
   61.00      0.2940    
   62.00      0.2632    
   63.00      0.2378    
   64.00      0.2171    
   65.00      0.2006    
   66.00      0.1875    
   67.00      0.1770    
   68.00      0.1685    
   69.00      0.1613    
   70.00      0.1548    
   71.00      0.1488    
   72.00      0.1428    
   73.00      0.1368    
   74.00      0.1307    
   75.00      0.1246    
   76.00      0.1185    
   77.00      0.1125    
   78.00      0.1069    
   79.00      0.1016    
   80.00      0.9679E-01
 END
