#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8484 keV Jpi=1- l=1 n=3 j=3/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       24.30    
   1.000       24.28    
   2.000       24.20    
   3.000       24.05    
   4.000       23.79    
   5.000       23.39    
   6.000       22.81    
   7.000       22.02    
   8.000       21.02    
   9.000       19.80    
   10.00       18.40    
   11.00       16.84    
   12.00       15.18    
   13.00       13.48    
   14.00       11.81    
   15.00       10.22    
   16.00       8.770    
   17.00       7.503    
   18.00       6.446    
   19.00       5.611    
   20.00       4.994    
   21.00       4.573    
   22.00       4.317    
   23.00       4.188    
   24.00       4.143    
   25.00       4.142    
   26.00       4.147    
   27.00       4.130    
   28.00       4.070    
   29.00       3.955    
   30.00       3.782    
   31.00       3.554    
   32.00       3.279    
   33.00       2.973    
   34.00       2.648    
   35.00       2.321    
   36.00       2.006    
   37.00       1.716    
   38.00       1.461    
   39.00       1.247    
   40.00       1.078    
   41.00      0.9521    
   42.00      0.8681    
   43.00      0.8203    
   44.00      0.8024    
   45.00      0.8070    
   46.00      0.8268    
   47.00      0.8548    
   48.00      0.8849    
   49.00      0.9117    
   50.00      0.9314    
   51.00      0.9409    
   52.00      0.9388    
   53.00      0.9244    
   54.00      0.8981    
   55.00      0.8610    
   56.00      0.8149    
   57.00      0.7618    
   58.00      0.7040    
   59.00      0.6438    
   60.00      0.5832    
   61.00      0.5239    
   62.00      0.4675    
   63.00      0.4150    
   64.00      0.3673    
   65.00      0.3247    
   66.00      0.2876    
   67.00      0.2558    
   68.00      0.2292    
   69.00      0.2073    
   70.00      0.1898    
   71.00      0.1759    
   72.00      0.1652    
   73.00      0.1571    
   74.00      0.1510    
   75.00      0.1464    
   76.00      0.1430    
   77.00      0.1404    
   78.00      0.1384    
   79.00      0.1367    
   80.00      0.1351    
 END
