#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 7658 keV Jpi=4- l=3 n=2 j=5/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       11.98    
   1.000       12.03    
   2.000       12.16    
   3.000       12.38    
   4.000       12.68    
   5.000       13.04    
   6.000       13.47    
   7.000       13.94    
   8.000       14.44    
   9.000       14.96    
   10.00       15.46    
   11.00       15.94    
   12.00       16.37    
   13.00       16.73    
   14.00       16.99    
   15.00       17.14    
   16.00       17.17    
   17.00       17.05    
   18.00       16.78    
   19.00       16.35    
   20.00       15.76    
   21.00       15.02    
   22.00       14.15    
   23.00       13.17    
   24.00       12.10    
   25.00       10.97    
   26.00       9.823    
   27.00       8.686    
   28.00       7.589    
   29.00       6.559    
   30.00       5.619    
   31.00       4.784    
   32.00       4.065    
   33.00       3.467    
   34.00       2.989    
   35.00       2.625    
   36.00       2.364    
   37.00       2.195    
   38.00       2.099    
   39.00       2.060    
   40.00       2.059    
   41.00       2.081    
   42.00       2.110    
   43.00       2.134    
   44.00       2.144    
   45.00       2.133    
   46.00       2.099    
   47.00       2.039    
   48.00       1.955    
   49.00       1.850    
   50.00       1.727    
   51.00       1.592    
   52.00       1.450    
   53.00       1.306    
   54.00       1.164    
   55.00       1.030    
   56.00      0.9061    
   57.00      0.7955    
   58.00      0.6995    
   59.00      0.6186    
   60.00      0.5523    
   61.00      0.4996    
   62.00      0.4589    
   63.00      0.4282    
   64.00      0.4057    
   65.00      0.3891    
   66.00      0.3766    
   67.00      0.3666    
   68.00      0.3574    
   69.00      0.3482    
   70.00      0.3379    
   71.00      0.3263    
   72.00      0.3132    
   73.00      0.2986    
   74.00      0.2830    
   75.00      0.2669    
   76.00      0.2507    
   77.00      0.2351    
   78.00      0.2206    
   79.00      0.2076    
   80.00      0.1964    
 END
