#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8935 keV Jpi=2+ l=0 n=4 j=1/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       58.00    
   1.000       57.22    
   2.000       54.94    
   3.000       51.31    
   4.000       46.57    
   5.000       41.05    
   6.000       35.08    
   7.000       29.03    
   8.000       23.23    
   9.000       17.95    
   10.00       13.44    
   11.00       9.804    
   12.00       7.115    
   13.00       5.341    
   14.00       4.391    
   15.00       4.120    
   16.00       4.359    
   17.00       4.924    
   18.00       5.644    
   19.00       6.367    
   20.00       6.978    
   21.00       7.397    
   22.00       7.583    
   23.00       7.530    
   24.00       7.260    
   25.00       6.815    
   26.00       6.249    
   27.00       5.619    
   28.00       4.980    
   29.00       4.378    
   30.00       3.850    
   31.00       3.416    
   32.00       3.088    
   33.00       2.863    
   34.00       2.730    
   35.00       2.674    
   36.00       2.672    
   37.00       2.703    
   38.00       2.745    
   39.00       2.781    
   40.00       2.796    
   41.00       2.778    
   42.00       2.723    
   43.00       2.629    
   44.00       2.498    
   45.00       2.334    
   46.00       2.146    
   47.00       1.941    
   48.00       1.727    
   49.00       1.514    
   50.00       1.310    
   51.00       1.120    
   52.00      0.9494    
   53.00      0.8026    
   54.00      0.6814    
   55.00      0.5867    
   56.00      0.5177    
   57.00      0.4731    
   58.00      0.4504    
   59.00      0.4466    
   60.00      0.4583    
   61.00      0.4820    
   62.00      0.5141    
   63.00      0.5511    
   64.00      0.5897    
   65.00      0.6273    
   66.00      0.6613    
   67.00      0.6897    
   68.00      0.7109    
   69.00      0.7239    
   70.00      0.7281    
   71.00      0.7231    
   72.00      0.7092    
   73.00      0.6869    
   74.00      0.6568    
   75.00      0.6200    
   76.00      0.5776    
   77.00      0.5310    
   78.00      0.4815    
   79.00      0.4304    
   80.00      0.3791    
 END
