#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 9226.69 keV Jpi=3- l=3 n=1 j=5/2"                
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       4.141    
   1.000       4.149    
   2.000       4.171    
   3.000       4.207    
   4.000       4.256    
   5.000       4.316    
   6.000       4.385    
   7.000       4.459    
   8.000       4.534    
   9.000       4.606    
   10.00       4.670    
   11.00       4.722    
   12.00       4.758    
   13.00       4.774    
   14.00       4.766    
   15.00       4.732    
   16.00       4.671    
   17.00       4.579    
   18.00       4.458    
   19.00       4.306    
   20.00       4.126    
   21.00       3.920    
   22.00       3.692    
   23.00       3.446    
   24.00       3.188    
   25.00       2.923    
   26.00       2.657    
   27.00       2.396    
   28.00       2.144    
   29.00       1.907    
   30.00       1.689    
   31.00       1.492    
   32.00       1.319    
   33.00       1.170    
   34.00       1.047    
   35.00      0.9468    
   36.00      0.8688    
   37.00      0.8101    
   38.00      0.7680    
   39.00      0.7391    
   40.00      0.7203    
   41.00      0.7084    
   42.00      0.7003    
   43.00      0.6936    
   44.00      0.6861    
   45.00      0.6761    
   46.00      0.6622    
   47.00      0.6439    
   48.00      0.6209    
   49.00      0.5932    
   50.00      0.5615    
   51.00      0.5264    
   52.00      0.4889    
   53.00      0.4500    
   54.00      0.4108    
   55.00      0.3721    
   56.00      0.3350    
   57.00      0.3001    
   58.00      0.2679    
   59.00      0.2388    
   60.00      0.2131    
   61.00      0.1907    
   62.00      0.1715    
   63.00      0.1554    
   64.00      0.1422    
   65.00      0.1314    
   66.00      0.1227    
   67.00      0.1157    
   68.00      0.1101    
   69.00      0.1056    
   70.00      0.1017    
   71.00      0.9840E-01
   72.00      0.9534E-01
   73.00      0.9243E-01
   74.00      0.8959E-01
   75.00      0.8678E-01
   76.00      0.8399E-01
   77.00      0.8124E-01
   78.00      0.7855E-01
   79.00      0.7596E-01
   80.00      0.7350E-01
 END
