#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8359 keV Jpi=1- l=3 n=1 j=5/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       1.942    
   1.000       1.947    
   2.000       1.962    
   3.000       1.985    
   4.000       2.017    
   5.000       2.057    
   6.000       2.102    
   7.000       2.151    
   8.000       2.203    
   9.000       2.254    
   10.00       2.303    
   11.00       2.348    
   12.00       2.385    
   13.00       2.413    
   14.00       2.429    
   15.00       2.431    
   16.00       2.416    
   17.00       2.384    
   18.00       2.333    
   19.00       2.263    
   20.00       2.175    
   21.00       2.070    
   22.00       1.951    
   23.00       1.819    
   24.00       1.680    
   25.00       1.535    
   26.00       1.388    
   27.00       1.244    
   28.00       1.104    
   29.00      0.9725    
   30.00      0.8513    
   31.00      0.7425    
   32.00      0.6475    
   33.00      0.5670    
   34.00      0.5010    
   35.00      0.4488    
   36.00      0.4092    
   37.00      0.3805    
   38.00      0.3609    
   39.00      0.3484    
   40.00      0.3411    
   41.00      0.3373    
   42.00      0.3352    
   43.00      0.3333    
   44.00      0.3305    
   45.00      0.3259    
   46.00      0.3188    
   47.00      0.3089    
   48.00      0.2963    
   49.00      0.2810    
   50.00      0.2637    
   51.00      0.2448    
   52.00      0.2248    
   53.00      0.2046    
   54.00      0.1845    
   55.00      0.1651    
   56.00      0.1469    
   57.00      0.1300    
   58.00      0.1149    
   59.00      0.1015    
   60.00      0.9003E-01
   61.00      0.8033E-01
   62.00      0.7233E-01
   63.00      0.6585E-01
   64.00      0.6069E-01
   65.00      0.5664E-01
   66.00      0.5347E-01
   67.00      0.5098E-01
   68.00      0.4898E-01
   69.00      0.4732E-01
   70.00      0.4588E-01
   71.00      0.4456E-01
   72.00      0.4329E-01
   73.00      0.4204E-01
   74.00      0.4077E-01
   75.00      0.3950E-01
   76.00      0.3824E-01
   77.00      0.3700E-01
   78.00      0.3581E-01
   79.00      0.3471E-01
   80.00      0.3370E-01
 END
