#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8935 keV Jpi=2+ l=2 n=2 j=3/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       15.09    
   1.000       15.11    
   2.000       15.17    
   3.000       15.25    
   4.000       15.36    
   5.000       15.48    
   6.000       15.58    
   7.000       15.66    
   8.000       15.70    
   9.000       15.66    
   10.00       15.54    
   11.00       15.32    
   12.00       14.99    
   13.00       14.54    
   14.00       13.96    
   15.00       13.28    
   16.00       12.49    
   17.00       11.63    
   18.00       10.71    
   19.00       9.762    
   20.00       8.811    
   21.00       7.885    
   22.00       7.007    
   23.00       6.196    
   24.00       5.468    
   25.00       4.831    
   26.00       4.289    
   27.00       3.842    
   28.00       3.482    
   29.00       3.200    
   30.00       2.984    
   31.00       2.820    
   32.00       2.693    
   33.00       2.591    
   34.00       2.501    
   35.00       2.413    
   36.00       2.321    
   37.00       2.218    
   38.00       2.103    
   39.00       1.976    
   40.00       1.838    
   41.00       1.692    
   42.00       1.541    
   43.00       1.391    
   44.00       1.246    
   45.00       1.108    
   46.00      0.9821    
   47.00      0.8695    
   48.00      0.7720    
   49.00      0.6900    
   50.00      0.6230    
   51.00      0.5699    
   52.00      0.5290    
   53.00      0.4981    
   54.00      0.4750    
   55.00      0.4573    
   56.00      0.4430    
   57.00      0.4300    
   58.00      0.4169    
   59.00      0.4024    
   60.00      0.3860    
   61.00      0.3673    
   62.00      0.3464    
   63.00      0.3237    
   64.00      0.2997    
   65.00      0.2754    
   66.00      0.2513    
   67.00      0.2285    
   68.00      0.2077    
   69.00      0.1894    
   70.00      0.1742    
   71.00      0.1623    
   72.00      0.1539    
   73.00      0.1489    
   74.00      0.1470    
   75.00      0.1477    
   76.00      0.1507    
   77.00      0.1552    
   78.00      0.1606    
   79.00      0.1664    
   80.00      0.1719    
 END
