#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 9227.43 keV Jpi=2+ l=2 n=2 j=5/2"                
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       13.02    
   1.000       13.05    
   2.000       13.11    
   3.000       13.22    
   4.000       13.35    
   5.000       13.50    
   6.000       13.65    
   7.000       13.77    
   8.000       13.85    
   9.000       13.88    
   10.00       13.82    
   11.00       13.67    
   12.00       13.41    
   13.00       13.04    
   14.00       12.56    
   15.00       11.98    
   16.00       11.30    
   17.00       10.54    
   18.00       9.728    
   19.00       8.882    
   20.00       8.027    
   21.00       7.186    
   22.00       6.382    
   23.00       5.633    
   24.00       4.955    
   25.00       4.356    
   26.00       3.842    
   27.00       3.413    
   28.00       3.065    
   29.00       2.792    
   30.00       2.583    
   31.00       2.426    
   32.00       2.310    
   33.00       2.223    
   34.00       2.153    
   35.00       2.091    
   36.00       2.029    
   37.00       1.961    
   38.00       1.885    
   39.00       1.798    
   40.00       1.700    
   41.00       1.593    
   42.00       1.479    
   43.00       1.361    
   44.00       1.243    
   45.00       1.127    
   46.00       1.018    
   47.00      0.9162    
   48.00      0.8246    
   49.00      0.7440    
   50.00      0.6748    
   51.00      0.6167    
   52.00      0.5689    
   53.00      0.5303    
   54.00      0.4993    
   55.00      0.4744    
   56.00      0.4539    
   57.00      0.4363    
   58.00      0.4202    
   59.00      0.4046    
   60.00      0.3886    
   61.00      0.3717    
   62.00      0.3536    
   63.00      0.3344    
   64.00      0.3144    
   65.00      0.2939    
   66.00      0.2734    
   67.00      0.2535    
   68.00      0.2348    
   69.00      0.2177    
   70.00      0.2027    
   71.00      0.1901    
   72.00      0.1801    
   73.00      0.1728    
   74.00      0.1680    
   75.00      0.1657    
   76.00      0.1654    
   77.00      0.1669    
   78.00      0.1696    
   79.00      0.1732    
   80.00      0.1772    
 END
