#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8938 keV Jpi=0+ l=2 n=2 j=3/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       3.012    
   1.000       3.016    
   2.000       3.028    
   3.000       3.046    
   4.000       3.069    
   5.000       3.092    
   6.000       3.114    
   7.000       3.130    
   8.000       3.136    
   9.000       3.129    
   10.00       3.104    
   11.00       3.060    
   12.00       2.993    
   13.00       2.902    
   14.00       2.788    
   15.00       2.652    
   16.00       2.495    
   17.00       2.323    
   18.00       2.140    
   19.00       1.950    
   20.00       1.760    
   21.00       1.575    
   22.00       1.400    
   23.00       1.238    
   24.00       1.092    
   25.00      0.9653    
   26.00      0.8572    
   27.00      0.7679    
   28.00      0.6960    
   29.00      0.6396    
   30.00      0.5964    
   31.00      0.5635    
   32.00      0.5382    
   33.00      0.5177    
   34.00      0.4997    
   35.00      0.4822    
   36.00      0.4637    
   37.00      0.4432    
   38.00      0.4203    
   39.00      0.3949    
   40.00      0.3673    
   41.00      0.3381    
   42.00      0.3081    
   43.00      0.2781    
   44.00      0.2490    
   45.00      0.2215    
   46.00      0.1963    
   47.00      0.1738    
   48.00      0.1543    
   49.00      0.1379    
   50.00      0.1245    
   51.00      0.1139    
   52.00      0.1057    
   53.00      0.9955E-01
   54.00      0.9493E-01
   55.00      0.9140E-01
   56.00      0.8852E-01
   57.00      0.8591E-01
   58.00      0.8329E-01
   59.00      0.8041E-01
   60.00      0.7713E-01
   61.00      0.7341E-01
   62.00      0.6924E-01
   63.00      0.6470E-01
   64.00      0.5992E-01
   65.00      0.5504E-01
   66.00      0.5024E-01
   67.00      0.4567E-01
   68.00      0.4150E-01
   69.00      0.3785E-01
   70.00      0.3482E-01
   71.00      0.3245E-01
   72.00      0.3078E-01
   73.00      0.2978E-01
   74.00      0.2939E-01
   75.00      0.2954E-01
   76.00      0.3012E-01
   77.00      0.3101E-01
   78.00      0.3210E-01
   79.00      0.3326E-01
   80.00      0.3437E-01
 END
