#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 9092 keV Jpi=3- l=3 n=2 j=7/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       12.18    
   1.000       12.20    
   2.000       12.25    
   3.000       12.32    
   4.000       12.43    
   5.000       12.55    
   6.000       12.68    
   7.000       12.81    
   8.000       12.94    
   9.000       13.04    
   10.00       13.11    
   11.00       13.14    
   12.00       13.12    
   13.00       13.05    
   14.00       12.90    
   15.00       12.69    
   16.00       12.41    
   17.00       12.06    
   18.00       11.64    
   19.00       11.15    
   20.00       10.61    
   21.00       10.01    
   22.00       9.367    
   23.00       8.695    
   24.00       8.006    
   25.00       7.312    
   26.00       6.628    
   27.00       5.966    
   28.00       5.337    
   29.00       4.751    
   30.00       4.217    
   31.00       3.740    
   32.00       3.324    
   33.00       2.969    
   34.00       2.675    
   35.00       2.437    
   36.00       2.251    
   37.00       2.109    
   38.00       2.004    
   39.00       1.928    
   40.00       1.872    
   41.00       1.830    
   42.00       1.794    
   43.00       1.758    
   44.00       1.719    
   45.00       1.672    
   46.00       1.615    
   47.00       1.547    
   48.00       1.469    
   49.00       1.380    
   50.00       1.284    
   51.00       1.182    
   52.00       1.078    
   53.00      0.9729    
   54.00      0.8708    
   55.00      0.7736    
   56.00      0.6834    
   57.00      0.6017    
   58.00      0.5294    
   59.00      0.4670    
   60.00      0.4147    
   61.00      0.3722    
   62.00      0.3386    
   63.00      0.3132    
   64.00      0.2947    
   65.00      0.2819    
   66.00      0.2735    
   67.00      0.2680    
   68.00      0.2645    
   69.00      0.2617    
   70.00      0.2589    
   71.00      0.2555    
   72.00      0.2510    
   73.00      0.2452    
   74.00      0.2380    
   75.00      0.2296    
   76.00      0.2200    
   77.00      0.2096    
   78.00      0.1987    
   79.00      0.1875    
   80.00      0.1766    
 END
