#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 9227.43 keV Jpi=1- l=1 n=3 j=1/2"                
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       19.89    
   1.000       19.83    
   2.000       19.64    
   3.000       19.33    
   4.000       18.87    
   5.000       18.27    
   6.000       17.53    
   7.000       16.63    
   8.000       15.60    
   9.000       14.45    
   10.00       13.20    
   11.00       11.88    
   12.00       10.54    
   13.00       9.225    
   14.00       7.964    
   15.00       6.801    
   16.00       5.765    
   17.00       4.879    
   18.00       4.154    
   19.00       3.593    
   20.00       3.187    
   21.00       2.921    
   22.00       2.771    
   23.00       2.711    
   24.00       2.712    
   25.00       2.749    
   26.00       2.795    
   27.00       2.830    
   28.00       2.840    
   29.00       2.814    
   30.00       2.747    
   31.00       2.642    
   32.00       2.500    
   33.00       2.330    
   34.00       2.141    
   35.00       1.942    
   36.00       1.742    
   37.00       1.549    
   38.00       1.370    
   39.00       1.209    
   40.00       1.070    
   41.00      0.9547    
   42.00      0.8612    
   43.00      0.7884    
   44.00      0.7336    
   45.00      0.6934    
   46.00      0.6643    
   47.00      0.6429    
   48.00      0.6261    
   49.00      0.6112    
   50.00      0.5963    
   51.00      0.5800    
   52.00      0.5615    
   53.00      0.5406    
   54.00      0.5174    
   55.00      0.4925    
   56.00      0.4665    
   57.00      0.4403    
   58.00      0.4147    
   59.00      0.3903    
   60.00      0.3678    
   61.00      0.3474    
   62.00      0.3295    
   63.00      0.3141    
   64.00      0.3008    
   65.00      0.2895    
   66.00      0.2796    
   67.00      0.2708    
   68.00      0.2625    
   69.00      0.2543    
   70.00      0.2457    
   71.00      0.2365    
   72.00      0.2264    
   73.00      0.2153    
   74.00      0.2031    
   75.00      0.1900    
   76.00      0.1760    
   77.00      0.1615    
   78.00      0.1466    
   79.00      0.1317    
   80.00      0.1172    
 END
