#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 9226.69 keV Jpi=2- l=3 n=1 j=5/2"                
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       2.956    
   1.000       2.961    
   2.000       2.977    
   3.000       3.004    
   4.000       3.039    
   5.000       3.083    
   6.000       3.132    
   7.000       3.185    
   8.000       3.239    
   9.000       3.290    
   10.00       3.336    
   11.00       3.373    
   12.00       3.399    
   13.00       3.410    
   14.00       3.405    
   15.00       3.381    
   16.00       3.337    
   17.00       3.271    
   18.00       3.184    
   19.00       3.076    
   20.00       2.947    
   21.00       2.800    
   22.00       2.637    
   23.00       2.461    
   24.00       2.277    
   25.00       2.088    
   26.00       1.898    
   27.00       1.711    
   28.00       1.532    
   29.00       1.362    
   30.00       1.206    
   31.00       1.066    
   32.00      0.9420    
   33.00      0.8360    
   34.00      0.7476    
   35.00      0.6762    
   36.00      0.6205    
   37.00      0.5786    
   38.00      0.5485    
   39.00      0.5280    
   40.00      0.5145    
   41.00      0.5060    
   42.00      0.5002    
   43.00      0.4955    
   44.00      0.4901    
   45.00      0.4829    
   46.00      0.4731    
   47.00      0.4600    
   48.00      0.4436    
   49.00      0.4238    
   50.00      0.4011    
   51.00      0.3760    
   52.00      0.3491    
   53.00      0.3213    
   54.00      0.2933    
   55.00      0.2657    
   56.00      0.2393    
   57.00      0.2144    
   58.00      0.1914    
   59.00      0.1707    
   60.00      0.1523    
   61.00      0.1362    
   62.00      0.1225    
   63.00      0.1110    
   64.00      0.1015    
   65.00      0.9379E-01
   66.00      0.8759E-01
   67.00      0.8264E-01
   68.00      0.7866E-01
   69.00      0.7542E-01
   70.00      0.7269E-01
   71.00      0.7029E-01
   72.00      0.6810E-01
   73.00      0.6601E-01
   74.00      0.6397E-01
   75.00      0.6197E-01
   76.00      0.5998E-01
   77.00      0.5803E-01
   78.00      0.5613E-01
   79.00      0.5428E-01
   80.00      0.5252E-01
 END
