#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 9227.43 keV Jpi=1- l=1 n=3 j=3/2"                
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       17.44    
   1.000       17.40    
   2.000       17.27    
   3.000       17.06    
   4.000       16.74    
   5.000       16.32    
   6.000       15.77    
   7.000       15.10    
   8.000       14.31    
   9.000       13.40    
   10.00       12.39    
   11.00       11.31    
   12.00       10.20    
   13.00       9.079    
   14.00       7.993    
   15.00       6.976    
   16.00       6.057    
   17.00       5.258    
   18.00       4.592    
   19.00       4.065    
   20.00       3.670    
   21.00       3.394    
   22.00       3.218    
   23.00       3.119    
   24.00       3.071    
   25.00       3.051    
   26.00       3.037    
   27.00       3.011    
   28.00       2.959    
   29.00       2.875    
   30.00       2.754    
   31.00       2.598    
   32.00       2.413    
   33.00       2.206    
   34.00       1.986    
   35.00       1.764    
   36.00       1.547    
   37.00       1.346    
   38.00       1.165    
   39.00       1.011    
   40.00      0.8854    
   41.00      0.7888    
   42.00      0.7202    
   43.00      0.6769    
   44.00      0.6552    
   45.00      0.6506    
   46.00      0.6586    
   47.00      0.6744    
   48.00      0.6936    
   49.00      0.7125    
   50.00      0.7279    
   51.00      0.7374    
   52.00      0.7396    
   53.00      0.7335    
   54.00      0.7191    
   55.00      0.6967    
   56.00      0.6671    
   57.00      0.6315    
   58.00      0.5914    
   59.00      0.5480    
   60.00      0.5029    
   61.00      0.4574    
   62.00      0.4127    
   63.00      0.3698    
   64.00      0.3295    
   65.00      0.2924    
   66.00      0.2590    
   67.00      0.2294    
   68.00      0.2037    
   69.00      0.1819    
   70.00      0.1637    
   71.00      0.1488    
   72.00      0.1370    
   73.00      0.1279    
   74.00      0.1210    
   75.00      0.1161    
   76.00      0.1127    
   77.00      0.1106    
   78.00      0.1094    
   79.00      0.1089    
   80.00      0.1088    
 END
