#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 9227.43 keV Jpi=1- l=1 n=2 j=1/2"                
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       10.82    
   1.000       10.79    
   2.000       10.68    
   3.000       10.51    
   4.000       10.27    
   5.000       9.943    
   6.000       9.538    
   7.000       9.054    
   8.000       8.497    
   9.000       7.876    
   10.00       7.206    
   11.00       6.507    
   12.00       5.801    
   13.00       5.112    
   14.00       4.463    
   15.00       3.874    
   16.00       3.362    
   17.00       2.937    
   18.00       2.606    
   19.00       2.368    
   20.00       2.215    
   21.00       2.137    
   22.00       2.119    
   23.00       2.145    
   24.00       2.196    
   25.00       2.256    
   26.00       2.311    
   27.00       2.347    
   28.00       2.357    
   29.00       2.334    
   30.00       2.278    
   31.00       2.190    
   32.00       2.072    
   33.00       1.931    
   34.00       1.772    
   35.00       1.603    
   36.00       1.431    
   37.00       1.261    
   38.00       1.099    
   39.00      0.9480    
   40.00      0.8118    
   41.00      0.6916    
   42.00      0.5881    
   43.00      0.5009    
   44.00      0.4290    
   45.00      0.3708    
   46.00      0.3246    
   47.00      0.2886    
   48.00      0.2609    
   49.00      0.2400    
   50.00      0.2244    
   51.00      0.2130    
   52.00      0.2051    
   53.00      0.2000    
   54.00      0.1972    
   55.00      0.1965    
   56.00      0.1977    
   57.00      0.2006    
   58.00      0.2050    
   59.00      0.2108    
   60.00      0.2177    
   61.00      0.2254    
   62.00      0.2336    
   63.00      0.2417    
   64.00      0.2493    
   65.00      0.2559    
   66.00      0.2612    
   67.00      0.2646    
   68.00      0.2659    
   69.00      0.2648    
   70.00      0.2612    
   71.00      0.2550    
   72.00      0.2464    
   73.00      0.2353    
   74.00      0.2222    
   75.00      0.2073    
   76.00      0.1909    
   77.00      0.1736    
   78.00      0.1558    
   79.00      0.1380    
   80.00      0.1205    
 END
