#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8748 keV Jpi=2+ l=4 n=2 j=7/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       2.838    
   1.000       2.843    
   2.000       2.860    
   3.000       2.887    
   4.000       2.923    
   5.000       2.967    
   6.000       3.018    
   7.000       3.074    
   8.000       3.133    
   9.000       3.194    
   10.00       3.256    
   11.00       3.318    
   12.00       3.377    
   13.00       3.433    
   14.00       3.485    
   15.00       3.530    
   16.00       3.569    
   17.00       3.599    
   18.00       3.618    
   19.00       3.627    
   20.00       3.622    
   21.00       3.603    
   22.00       3.568    
   23.00       3.516    
   24.00       3.446    
   25.00       3.357    
   26.00       3.251    
   27.00       3.126    
   28.00       2.985    
   29.00       2.829    
   30.00       2.660    
   31.00       2.482    
   32.00       2.297    
   33.00       2.108    
   34.00       1.920    
   35.00       1.734    
   36.00       1.555    
   37.00       1.386    
   38.00       1.228    
   39.00       1.084    
   40.00      0.9548    
   41.00      0.8418    
   42.00      0.7448    
   43.00      0.6635    
   44.00      0.5970    
   45.00      0.5441    
   46.00      0.5033    
   47.00      0.4727    
   48.00      0.4506    
   49.00      0.4350    
   50.00      0.4241    
   51.00      0.4161    
   52.00      0.4094    
   53.00      0.4029    
   54.00      0.3953    
   55.00      0.3860    
   56.00      0.3746    
   57.00      0.3609    
   58.00      0.3450    
   59.00      0.3272    
   60.00      0.3080    
   61.00      0.2877    
   62.00      0.2670    
   63.00      0.2463    
   64.00      0.2262    
   65.00      0.2069    
   66.00      0.1890    
   67.00      0.1726    
   68.00      0.1578    
   69.00      0.1449    
   70.00      0.1338    
   71.00      0.1245    
   72.00      0.1168    
   73.00      0.1105    
   74.00      0.1055    
   75.00      0.1014    
   76.00      0.9799E-01
   77.00      0.9510E-01
   78.00      0.9249E-01
   79.00      0.8997E-01
   80.00      0.8741E-01
 END
