#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8359 keV Jpi=2- l=3 n=2 j=5/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       8.318    
   1.000       8.343    
   2.000       8.417    
   3.000       8.538    
   4.000       8.702    
   5.000       8.901    
   6.000       9.129    
   7.000       9.375    
   8.000       9.629    
   9.000       9.879    
   10.00       10.11    
   11.00       10.32    
   12.00       10.48    
   13.00       10.59    
   14.00       10.63    
   15.00       10.60    
   16.00       10.50    
   17.00       10.31    
   18.00       10.04    
   19.00       9.689    
   20.00       9.259    
   21.00       8.759    
   22.00       8.201    
   23.00       7.596    
   24.00       6.959    
   25.00       6.307    
   26.00       5.654    
   27.00       5.016    
   28.00       4.407    
   29.00       3.839    
   30.00       3.323    
   31.00       2.865    
   32.00       2.471    
   33.00       2.142    
   34.00       1.877    
   35.00       1.671    
   36.00       1.520    
   37.00       1.415    
   38.00       1.348    
   39.00       1.311    
   40.00       1.294    
   41.00       1.291    
   42.00       1.292    
   43.00       1.292    
   44.00       1.287    
   45.00       1.273    
   46.00       1.246    
   47.00       1.208    
   48.00       1.157    
   49.00       1.095    
   50.00       1.025    
   51.00      0.9473    
   52.00      0.8661    
   53.00      0.7837    
   54.00      0.7026    
   55.00      0.6249    
   56.00      0.5525    
   57.00      0.4867    
   58.00      0.4283    
   59.00      0.3778    
   60.00      0.3351    
   61.00      0.3000    
   62.00      0.2718    
   63.00      0.2496    
   64.00      0.2325    
   65.00      0.2194    
   66.00      0.2093    
   67.00      0.2014    
   68.00      0.1946    
   69.00      0.1884    
   70.00      0.1822    
   71.00      0.1758    
   72.00      0.1689    
   73.00      0.1615    
   74.00      0.1537    
   75.00      0.1457    
   76.00      0.1376    
   77.00      0.1298    
   78.00      0.1224    
   79.00      0.1156    
   80.00      0.1097    
 END
