#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8995 keV Jpi=2+ l=2 n=1 j=3/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       6.214    
   1.000       6.225    
   2.000       6.257    
   3.000       6.307    
   4.000       6.370    
   5.000       6.438    
   6.000       6.504    
   7.000       6.556    
   8.000       6.587    
   9.000       6.585    
   10.00       6.544    
   11.00       6.456    
   12.00       6.315    
   13.00       6.122    
   14.00       5.874    
   15.00       5.577    
   16.00       5.236    
   17.00       4.860    
   18.00       4.459    
   19.00       4.044    
   20.00       3.630    
   21.00       3.226    
   22.00       2.845    
   23.00       2.496    
   24.00       2.184    
   25.00       1.915    
   26.00       1.690    
   27.00       1.507    
   28.00       1.364    
   29.00       1.256    
   30.00       1.177    
   31.00       1.122    
   32.00       1.084    
   33.00       1.056    
   34.00       1.033    
   35.00       1.010    
   36.00      0.9842    
   37.00      0.9528    
   38.00      0.9143    
   39.00      0.8687    
   40.00      0.8166    
   41.00      0.7592    
   42.00      0.6982    
   43.00      0.6358    
   44.00      0.5739    
   45.00      0.5143    
   46.00      0.4586    
   47.00      0.4082    
   48.00      0.3637    
   49.00      0.3257    
   50.00      0.2942    
   51.00      0.2688    
   52.00      0.2491    
   53.00      0.2342    
   54.00      0.2231    
   55.00      0.2149    
   56.00      0.2085    
   57.00      0.2032    
   58.00      0.1981    
   59.00      0.1926    
   60.00      0.1863    
   61.00      0.1790    
   62.00      0.1705    
   63.00      0.1608    
   64.00      0.1501    
   65.00      0.1388    
   66.00      0.1270    
   67.00      0.1151    
   68.00      0.1034    
   69.00      0.9226E-01
   70.00      0.8190E-01
   71.00      0.7252E-01
   72.00      0.6426E-01
   73.00      0.5719E-01
   74.00      0.5132E-01
   75.00      0.4662E-01
   76.00      0.4299E-01
   77.00      0.4029E-01
   78.00      0.3839E-01
   79.00      0.3711E-01
   80.00      0.3628E-01
 END
