#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 9432 keV Jpi=4- l=5 n=1 j=9/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000      0.6607    
   1.000      0.6595    
   2.000      0.6557    
   3.000      0.6497    
   4.000      0.6418    
   5.000      0.6322    
   6.000      0.6216    
   7.000      0.6103    
   8.000      0.5988    
   9.000      0.5877    
   10.00      0.5773    
   11.00      0.5683    
   12.00      0.5611    
   13.00      0.5561    
   14.00      0.5537    
   15.00      0.5541    
   16.00      0.5576    
   17.00      0.5641    
   18.00      0.5734    
   19.00      0.5853    
   20.00      0.5993    
   21.00      0.6147    
   22.00      0.6312    
   23.00      0.6479    
   24.00      0.6642    
   25.00      0.6796    
   26.00      0.6935    
   27.00      0.7052    
   28.00      0.7142    
   29.00      0.7201    
   30.00      0.7223    
   31.00      0.7205    
   32.00      0.7145    
   33.00      0.7040    
   34.00      0.6890    
   35.00      0.6697    
   36.00      0.6464    
   37.00      0.6194    
   38.00      0.5893    
   39.00      0.5567    
   40.00      0.5223    
   41.00      0.4868    
   42.00      0.4508    
   43.00      0.4151    
   44.00      0.3802    
   45.00      0.3466    
   46.00      0.3149    
   47.00      0.2853    
   48.00      0.2583    
   49.00      0.2340    
   50.00      0.2125    
   51.00      0.1938    
   52.00      0.1779    
   53.00      0.1647    
   54.00      0.1540    
   55.00      0.1456    
   56.00      0.1390    
   57.00      0.1342    
   58.00      0.1307    
   59.00      0.1281    
   60.00      0.1263    
   61.00      0.1250    
   62.00      0.1238    
   63.00      0.1226    
   64.00      0.1212    
   65.00      0.1195    
   66.00      0.1174    
   67.00      0.1149    
   68.00      0.1119    
   69.00      0.1084    
   70.00      0.1046    
   71.00      0.1004    
   72.00      0.9600E-01
   73.00      0.9137E-01
   74.00      0.8663E-01
   75.00      0.8187E-01
   76.00      0.7716E-01
   77.00      0.7257E-01
   78.00      0.6817E-01
   79.00      0.6402E-01
   80.00      0.6015E-01
 END
