#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 4491 keV Jpi=5- l=7 n=1 j=13/2"                  
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000      0.1130    
   1.000      0.1125    
   2.000      0.1109    
   3.000      0.1081    
   4.000      0.1041    
   5.000      0.9927E-01
   6.000      0.9424E-01
   7.000      0.8996E-01
   8.000      0.8737E-01
   9.000      0.8705E-01
   10.00      0.8900E-01
   11.00      0.9259E-01
   12.00      0.9667E-01
   13.00      0.9994E-01
   14.00      0.1012    
   15.00      0.9995E-01
   16.00      0.9608E-01
   17.00      0.9038E-01
   18.00      0.8414E-01
   19.00      0.7883E-01
   20.00      0.7579E-01
   21.00      0.7578E-01
   22.00      0.7878E-01
   23.00      0.8395E-01
   24.00      0.8981E-01
   25.00      0.9466E-01
   26.00      0.9710E-01
   27.00      0.9646E-01
   28.00      0.9304E-01
   29.00      0.8802E-01
   30.00      0.8312E-01
   31.00      0.8007E-01
   32.00      0.8009E-01
   33.00      0.8355E-01
   34.00      0.8992E-01
   35.00      0.9798E-01
   36.00      0.1062    
   37.00      0.1133    
   38.00      0.1184    
   39.00      0.1213    
   40.00      0.1223    
   41.00      0.1222    
   42.00      0.1217    
   43.00      0.1215    
   44.00      0.1222    
   45.00      0.1238    
   46.00      0.1264    
   47.00      0.1296    
   48.00      0.1332    
   49.00      0.1363    
   50.00      0.1385    
   51.00      0.1390    
   52.00      0.1372    
   53.00      0.1330    
   54.00      0.1265    
   55.00      0.1185    
   56.00      0.1100    
   57.00      0.1022    
   58.00      0.9604E-01
   59.00      0.9201E-01
   60.00      0.8995E-01
   61.00      0.8912E-01
   62.00      0.8836E-01
   63.00      0.8652E-01
   64.00      0.8282E-01
   65.00      0.7708E-01
   66.00      0.6982E-01
   67.00      0.6210E-01
   68.00      0.5520E-01
   69.00      0.5022E-01
   70.00      0.4774E-01
   71.00      0.4763E-01
   72.00      0.4917E-01
   73.00      0.5122E-01
   74.00      0.5264E-01
   75.00      0.5261E-01
   76.00      0.5088E-01
   77.00      0.4777E-01
   78.00      0.4408E-01
   79.00      0.4075E-01
   80.00      0.3854E-01
 END
