#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8188 keV Jpi=4+ l=4 n=1 j=9/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       2.162    
   1.000       2.159    
   2.000       2.152    
   3.000       2.140    
   4.000       2.124    
   5.000       2.107    
   6.000       2.088    
   7.000       2.071    
   8.000       2.057    
   9.000       2.047    
   10.00       2.043    
   11.00       2.046    
   12.00       2.057    
   13.00       2.075    
   14.00       2.101    
   15.00       2.134    
   16.00       2.171    
   17.00       2.212    
   18.00       2.253    
   19.00       2.292    
   20.00       2.326    
   21.00       2.353    
   22.00       2.369    
   23.00       2.372    
   24.00       2.360    
   25.00       2.332    
   26.00       2.287    
   27.00       2.224    
   28.00       2.145    
   29.00       2.049    
   30.00       1.940    
   31.00       1.819    
   32.00       1.688    
   33.00       1.551    
   34.00       1.412    
   35.00       1.272    
   36.00       1.135    
   37.00       1.004    
   38.00      0.8810    
   39.00      0.7682    
   40.00      0.6668    
   41.00      0.5777    
   42.00      0.5014    
   43.00      0.4376    
   44.00      0.3858    
   45.00      0.3453    
   46.00      0.3147    
   47.00      0.2927    
   48.00      0.2778    
   49.00      0.2684    
   50.00      0.2630    
   51.00      0.2601    
   52.00      0.2586    
   53.00      0.2573    
   54.00      0.2556    
   55.00      0.2527    
   56.00      0.2484    
   57.00      0.2424    
   58.00      0.2347    
   59.00      0.2254    
   60.00      0.2147    
   61.00      0.2028    
   62.00      0.1902    
   63.00      0.1771    
   64.00      0.1639    
   65.00      0.1510    
   66.00      0.1386    
   67.00      0.1271    
   68.00      0.1165    
   69.00      0.1070    
   70.00      0.9852E-01
   71.00      0.9109E-01
   72.00      0.8461E-01
   73.00      0.7899E-01
   74.00      0.7411E-01
   75.00      0.6985E-01
   76.00      0.6611E-01
   77.00      0.6278E-01
   78.00      0.5976E-01
   79.00      0.5699E-01
   80.00      0.5441E-01
 END
