#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 7623 keV Jpi=3- l=1 n=2 j=3/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       35.49    
   1.000       35.58    
   2.000       35.82    
   3.000       36.14    
   4.000       36.46    
   5.000       36.63    
   6.000       36.55    
   7.000       36.11    
   8.000       35.20    
   9.000       33.80    
   10.00       31.91    
   11.00       29.57    
   12.00       26.88    
   13.00       23.97    
   14.00       20.99    
   15.00       18.07    
   16.00       15.36    
   17.00       12.96    
   18.00       10.95    
   19.00       9.367    
   20.00       8.211    
   21.00       7.451    
   22.00       7.028    
   23.00       6.867    
   24.00       6.883    
   25.00       6.995    
   26.00       7.126    
   27.00       7.214    
   28.00       7.213    
   29.00       7.096    
   30.00       6.855    
   31.00       6.493    
   32.00       6.030    
   33.00       5.491    
   34.00       4.907    
   35.00       4.309    
   36.00       3.727    
   37.00       3.185    
   38.00       2.702    
   39.00       2.289    
   40.00       1.953    
   41.00       1.692    
   42.00       1.502    
   43.00       1.374    
   44.00       1.296    
   45.00       1.256    
   46.00       1.241    
   47.00       1.240    
   48.00       1.244    
   49.00       1.244    
   50.00       1.235    
   51.00       1.214    
   52.00       1.180    
   53.00       1.135    
   54.00       1.079    
   55.00       1.016    
   56.00      0.9489    
   57.00      0.8816    
   58.00      0.8170    
   59.00      0.7578    
   60.00      0.7058    
   61.00      0.6624    
   62.00      0.6280    
   63.00      0.6025    
   64.00      0.5851    
   65.00      0.5747    
   66.00      0.5696    
   67.00      0.5682    
   68.00      0.5687    
   69.00      0.5696    
   70.00      0.5694    
   71.00      0.5668    
   72.00      0.5609    
   73.00      0.5512    
   74.00      0.5374    
   75.00      0.5196    
   76.00      0.4979    
   77.00      0.4729    
   78.00      0.4453    
   79.00      0.4156    
   80.00      0.3848    
 END
