#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8188 keV Jpi=4+ l=2 n=2 j=5/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       31.02    
   1.000       31.10    
   2.000       31.33    
   3.000       31.70    
   4.000       32.17    
   5.000       32.73    
   6.000       33.31    
   7.000       33.86    
   8.000       34.34    
   9.000       34.66    
   10.00       34.77    
   11.00       34.60    
   12.00       34.13    
   13.00       33.32    
   14.00       32.17    
   15.00       30.68    
   16.00       28.91    
   17.00       26.89    
   18.00       24.69    
   19.00       22.39    
   20.00       20.05    
   21.00       17.74    
   22.00       15.54    
   23.00       13.49    
   24.00       11.65    
   25.00       10.05    
   26.00       8.702    
   27.00       7.602    
   28.00       6.740    
   29.00       6.089    
   30.00       5.617    
   31.00       5.287    
   32.00       5.061    
   33.00       4.905    
   34.00       4.786    
   35.00       4.679    
   36.00       4.561    
   37.00       4.419    
   38.00       4.244    
   39.00       4.034    
   40.00       3.791    
   41.00       3.521    
   42.00       3.234    
   43.00       2.940    
   44.00       2.648    
   45.00       2.369    
   46.00       2.110    
   47.00       1.877    
   48.00       1.673    
   49.00       1.502    
   50.00       1.361    
   51.00       1.249    
   52.00       1.164    
   53.00       1.100    
   54.00       1.053    
   55.00       1.018    
   56.00      0.9887    
   57.00      0.9624    
   58.00      0.9354    
   59.00      0.9053    
   60.00      0.8706    
   61.00      0.8310    
   62.00      0.7865    
   63.00      0.7379    
   64.00      0.6864    
   65.00      0.6335    
   66.00      0.5810    
   67.00      0.5305    
   68.00      0.4839    
   69.00      0.4427    
   70.00      0.4078    
   71.00      0.3801    
   72.00      0.3597    
   73.00      0.3465    
   74.00      0.3397    
   75.00      0.3385    
   76.00      0.3420    
   77.00      0.3489    
   78.00      0.3581    
   79.00      0.3685    
   80.00      0.3788    
 END
