#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 7623 keV Jpi=3+ l=2 n=2 j=3/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       22.56    
   1.000       22.62    
   2.000       22.79    
   3.000       23.07    
   4.000       23.45    
   5.000       23.88    
   6.000       24.36    
   7.000       24.84    
   8.000       25.28    
   9.000       25.62    
   10.00       25.82    
   11.00       25.83    
   12.00       25.62    
   13.00       25.14    
   14.00       24.38    
   15.00       23.36    
   16.00       22.08    
   17.00       20.58    
   18.00       18.91    
   19.00       17.13    
   20.00       15.31    
   21.00       13.50    
   22.00       11.77    
   23.00       10.17    
   24.00       8.731    
   25.00       7.488    
   26.00       6.450    
   27.00       5.617    
   28.00       4.977    
   29.00       4.507    
   30.00       4.180    
   31.00       3.963    
   32.00       3.823    
   33.00       3.729    
   34.00       3.655    
   35.00       3.578    
   36.00       3.481    
   37.00       3.356    
   38.00       3.198    
   39.00       3.007    
   40.00       2.789    
   41.00       2.552    
   42.00       2.304    
   43.00       2.056    
   44.00       1.817    
   45.00       1.595    
   46.00       1.396    
   47.00       1.224    
   48.00       1.082    
   49.00      0.9692    
   50.00      0.8838    
   51.00      0.8225    
   52.00      0.7808    
   53.00      0.7538    
   54.00      0.7365    
   55.00      0.7241    
   56.00      0.7124    
   57.00      0.6982    
   58.00      0.6790    
   59.00      0.6535    
   60.00      0.6214    
   61.00      0.5829    
   62.00      0.5393    
   63.00      0.4921    
   64.00      0.4433    
   65.00      0.3948    
   66.00      0.3486    
   67.00      0.3065    
   68.00      0.2700    
   69.00      0.2401    
   70.00      0.2175    
   71.00      0.2025    
   72.00      0.1946    
   73.00      0.1933    
   74.00      0.1977    
   75.00      0.2065    
   76.00      0.2184    
   77.00      0.2321    
   78.00      0.2463    
   79.00      0.2598    
   80.00      0.2714    
 END
