#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8019 keV Jpi=0+ l=2 n=1 j=3/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       1.404    
   1.000       1.408    
   2.000       1.420    
   3.000       1.439    
   4.000       1.464    
   5.000       1.494    
   6.000       1.525    
   7.000       1.555    
   8.000       1.581    
   9.000       1.600    
   10.00       1.609    
   11.00       1.604    
   12.00       1.584    
   13.00       1.548    
   14.00       1.495    
   15.00       1.425    
   16.00       1.341    
   17.00       1.245    
   18.00       1.141    
   19.00       1.031    
   20.00      0.9196    
   21.00      0.8106    
   22.00      0.7073    
   23.00      0.6125    
   24.00      0.5283    
   25.00      0.4561    
   26.00      0.3965    
   27.00      0.3492    
   28.00      0.3133    
   29.00      0.2876    
   30.00      0.2701    
   31.00      0.2589    
   32.00      0.2521    
   33.00      0.2478    
   34.00      0.2443    
   35.00      0.2405    
   36.00      0.2353    
   37.00      0.2281    
   38.00      0.2186    
   39.00      0.2070    
   40.00      0.1934    
   41.00      0.1783    
   42.00      0.1623    
   43.00      0.1460    
   44.00      0.1299    
   45.00      0.1147    
   46.00      0.1007    
   47.00      0.8833E-01
   48.00      0.7772E-01
   49.00      0.6894E-01
   50.00      0.6194E-01
   51.00      0.5657E-01
   52.00      0.5263E-01
   53.00      0.4983E-01
   54.00      0.4791E-01
   55.00      0.4658E-01
   56.00      0.4556E-01
   57.00      0.4464E-01
   58.00      0.4363E-01
   59.00      0.4240E-01
   60.00      0.4085E-01
   61.00      0.3896E-01
   62.00      0.3674E-01
   63.00      0.3423E-01
   64.00      0.3151E-01
   65.00      0.2866E-01
   66.00      0.2579E-01
   67.00      0.2297E-01
   68.00      0.2031E-01
   69.00      0.1787E-01
   70.00      0.1570E-01
   71.00      0.1384E-01
   72.00      0.1230E-01
   73.00      0.1108E-01
   74.00      0.1016E-01
   75.00      0.9511E-02
   76.00      0.9086E-02
   77.00      0.8840E-02
   78.00      0.8725E-02
   79.00      0.8693E-02
   80.00      0.8699E-02
 END
