#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 7623 keV Jpi=4+ l=4 n=1 j=7/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       1.638    
   1.000       1.637    
   2.000       1.633    
   3.000       1.626    
   4.000       1.618    
   5.000       1.610    
   6.000       1.602    
   7.000       1.595    
   8.000       1.591    
   9.000       1.591    
   10.00       1.594    
   11.00       1.603    
   12.00       1.618    
   13.00       1.640    
   14.00       1.667    
   15.00       1.701    
   16.00       1.741    
   17.00       1.783    
   18.00       1.828    
   19.00       1.873    
   20.00       1.915    
   21.00       1.951    
   22.00       1.979    
   23.00       1.997    
   24.00       2.002    
   25.00       1.993    
   26.00       1.967    
   27.00       1.925    
   28.00       1.867    
   29.00       1.792    
   30.00       1.703    
   31.00       1.602    
   32.00       1.490    
   33.00       1.371    
   34.00       1.248    
   35.00       1.124    
   36.00       1.001    
   37.00      0.8836    
   38.00      0.7732    
   39.00      0.6718    
   40.00      0.5811    
   41.00      0.5019    
   42.00      0.4346    
   43.00      0.3792    
   44.00      0.3352    
   45.00      0.3014    
   46.00      0.2768    
   47.00      0.2599    
   48.00      0.2491    
   49.00      0.2429    
   50.00      0.2398    
   51.00      0.2386    
   52.00      0.2379    
   53.00      0.2370    
   54.00      0.2349    
   55.00      0.2314    
   56.00      0.2260    
   57.00      0.2188    
   58.00      0.2098    
   59.00      0.1993    
   60.00      0.1876    
   61.00      0.1750    
   62.00      0.1621    
   63.00      0.1490    
   64.00      0.1363    
   65.00      0.1242    
   66.00      0.1129    
   67.00      0.1026    
   68.00      0.9347E-01
   69.00      0.8546E-01
   70.00      0.7861E-01
   71.00      0.7286E-01
   72.00      0.6811E-01
   73.00      0.6423E-01
   74.00      0.6108E-01
   75.00      0.5851E-01
   76.00      0.5637E-01
   77.00      0.5454E-01
   78.00      0.5292E-01
   79.00      0.5143E-01
   80.00      0.5002E-01
 END
