#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8995 keV Jpi=2+ l=2 n=2 j=5/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       14.08    
   1.000       14.10    
   2.000       14.19    
   3.000       14.32    
   4.000       14.48    
   5.000       14.66    
   6.000       14.84    
   7.000       15.00    
   8.000       15.11    
   9.000       15.15    
   10.00       15.10    
   11.00       14.95    
   12.00       14.67    
   13.00       14.28    
   14.00       13.76    
   15.00       13.12    
   16.00       12.37    
   17.00       11.53    
   18.00       10.63    
   19.00       9.691    
   20.00       8.738    
   21.00       7.801    
   22.00       6.906    
   23.00       6.073    
   24.00       5.321    
   25.00       4.659    
   26.00       4.094    
   27.00       3.624    
   28.00       3.247    
   29.00       2.952    
   30.00       2.728    
   31.00       2.563    
   32.00       2.442    
   33.00       2.352    
   34.00       2.281    
   35.00       2.217    
   36.00       2.153    
   37.00       2.082    
   38.00       2.001    
   39.00       1.906    
   40.00       1.800    
   41.00       1.683    
   42.00       1.558    
   43.00       1.430    
   44.00       1.302    
   45.00       1.177    
   46.00       1.059    
   47.00      0.9509    
   48.00      0.8539    
   49.00      0.7692    
   50.00      0.6973    
   51.00      0.6376    
   52.00      0.5892    
   53.00      0.5506    
   54.00      0.5202    
   55.00      0.4961    
   56.00      0.4763    
   57.00      0.4593    
   58.00      0.4435    
   59.00      0.4277    
   60.00      0.4111    
   61.00      0.3932    
   62.00      0.3737    
   63.00      0.3529    
   64.00      0.3310    
   65.00      0.3086    
   66.00      0.2862    
   67.00      0.2645    
   68.00      0.2442    
   69.00      0.2257    
   70.00      0.2097    
   71.00      0.1963    
   72.00      0.1858    
   73.00      0.1782    
   74.00      0.1735    
   75.00      0.1714    
   76.00      0.1715    
   77.00      0.1734    
   78.00      0.1767    
   79.00      0.1808    
   80.00      0.1851    
 END
